source,target,language_pair,legal_category,legal_entity
Representatives of the Commission's departments may participate in the work of the Advisory Forum.,Vertreter der zuständigen Dienststellen der Kommission können sich an der Arbeit des Beirats beteiligen.,en-de,Administrative Law,"commission, participate, forum"
Campidano di Terralba/Terralba/Sardegna Campidano di Terralba/Sardegna Terralba,Campidano di Terralba/Terralba/Sardegna Campidano di Terralba/Sardegna Terralba,en-de,Administrative Law,
"Tables including aggregated values based on fewer than 10 vehicle records may be supplied to national authorities responsible for Community transport statistics in Member States, on condition that the national authorities apply the condition set out in paragraph 1 to any tables disseminated to other users.","Tabellen, die aggregierte Werte enthalten, denen weniger als 10 Fahrzeugdatensätze zugrunde liegen, können den nationalen Behörden, die in den Mitgliedstaaten für die Verkehrsstatistik der Gemeinschaft zuständig sind, unter der Bedingung übermittelt werden, dass die nationalen Behörden bei der etwaigen Übermittlung von Tabellen an andere Datennutzer die Bestimmung in Absatz 1 anwenden.",en-de,Contract Law,"member, records, set, responsible, condition"
"When using less than 100 ml, dilute to 100 ml with deionised water.","Werden weniger als 100 ml verwendet, so ist mit entionisiertem Wasser auf 100 ml zu verdünnen.",en-de,Administrative Law,
"However, grazing rights on common grazing land are not included, e.g. on common land belonging to the parish or to a cooperative (such areas, not being part of a holding, are not covered in this survey).","Anteilsrechte an gemeinschaftlichem Weideland, wie z. B. an Gemeinde- oder Genossenschaftsweiden oder an nicht aufgeteilter Allmende, bleiben dagegen außer Betracht (diese Flächen werden in der Erhebung nicht berücksichtigt, da sie keine betriebseigenen Flächen sind).",en-de,Constitutional Law,"holding, rights, land, cooperative, parish"
"In case of conflict, the provisions of this regulation shall prevail.",Im Konfliktfall hat die vorliegende Verordnung Vorrang,en-de,Administrative Law,"case, regulation"
Member States shall ensure that the eligible customers are:,"Die Mitgliedstaaten stellen sicher, dass zugelassene Kunden sind:",en-de,Administrative Law,member
5-chloro-2-(4-chlorphenoxy)phenol,5-Chlor-2-(4-chlorphenoxy)phenol,en-de,Administrative Law,
"Before...(27), the Commission shall, on the basis of public consultation and in the light of discussions with competent authorities, report to the European Parliament and Council on the possible extension of the scope of the provisions of the Directive concerning pre and post-trade transparency obligations to transactions in classes of financial instrument other than shares.",Vor dem...(27) erstattet die Kommission dem Europäischen Parlament und dem Rat auf der Grundlage einer öffentlichen Konsultation und angesichts der Beratungen mit den zuständigen Behörden Bericht über eine mögliche Ausdehnung des Anwendungsbereichs der vor- und nach-börslichen Transparenzvorschriften dieser Richtlinie auf Geschäfte mit anderen Gattungen von Finanzinstrumenten als Aktien.,en-de,Tax & Financial Regulation,"extension, post, instrument, commission, public, competent"
"Standard acetate buffer: dissolve 40 g solid sodium hydroxide AR, in 500 ml water in a beaker and allow to cool.","Standardacetatpufferlösung: 40 g Natriumhydroxid p.a. werden in ein Becherglas mit etwa 500 ml Wasser gegeben, gelöst und abgekühlt.",en-de,Administrative Law,
POLICE AND SECURITY,POLIZEI UND SICHERHEIT,en-de,Tax & Financial Regulation,security
"Enhanced protection for industrial design not only promotes the contribution of individual designers to the sum of Community excellence in the field, but also encourages innovation and development of new products and investment in their production.","Ein verbesserter Schutz für gewerbliche Geschmacksmuster fördert deshalb nicht nur den Beitrag einzelner Entwerfer zu der herausragenden Gesamtleistung der Gemeinschaft auf diesem Gebiet, sondern ermutigt auch zur Innovation und zur Entwicklung neuer Erzeugnisse sowie zu Investitionen für ihre Herstellung.",en-de,Tax & Financial Regulation,"investment, contribution"
"If an applicant withdraws or has withdrawn an application, the Member States, the Commission and the Authority shall respect the confidentiality of commercial and industrial information, including research and development information, as well as information on which the Commission and the applicant disagree as to its confidentiality.","Zieht ein Antragsteller seinen Antrag zurück oder hat er ihn zurückgezogen, so wahren die Mitgliedstaaten, die Kommission und die Behörde Geschäfts- und Betriebsgeheimnisse einschließlich vertraulicher Informationen über Forschung und Entwicklung sowie Informationen, über deren Vertraulichkeit die Kommission und der Antragsteller nicht einer Meinung sind.",en-de,Tax & Financial Regulation,"member, commission, information, authority"
"Where the natural rate of air renewed is inadequate, mechanical ventilation must be provided.","Reicht der natürliche Luftaustausch nicht aus, so ist eine Ventilationsanlage vorzusehen.",en-de,Administrative Law,
"In order to resolve a particular practical problem, the time limit laid down in Article 2(3) of Regulation (EC) No 1493/1999 for derogating from Article 2(2) should be amended.",Zur Lösung eines spezifischen praktischen Problems ist der in Artikel 2 Absatz 3 der Verordnung (EG) Nr. 1493/1999 festgesetzte Termin für die Abweichung von Absatz 2 desselben Artikels zu ändern.,en-de,Administrative Law,"order, article, regulation"
"Notwithstanding paragraph 2, the Authority shall on request supply the Commission and the Member States with all information in its possession.",Ungeachtet des Absatzes 2 übermittelt die Behörde der Kommission und den Mitgliedstaaten auf Anfrage alle in ihrem Besitz befindlichen Informationen.,en-de,Administrative Law,"authority, member, possession, commission, request, information"
The taking into account of the measurement uncertainty can be done according to one of the following approaches:,Die Berücksichtigung der Messungenauigkeit kann durch eine der zwei nachstehenden Möglichkeiten erfolgen:,en-de,Healthcare Law,"taking, account"
Digital hygroscope,Digitales Hygroskop,en-de,Administrative Law,
SECTION 3 Stateless vessels and vessels of non-contracting parties,ABSCHNITT 3 Staatenlose Schiffe und Schiffe von Nichtvertragsparteien,en-de,Contract Law,
"Based on the reports to be drawn up by 1 October 2002 by the Member States that have applied such reduced rates, the Commission is required to submit a global evaluation report to the Council and the European Parliament by 31 December 2002, accompanied if necessary by a proposal for a final decision on the rate to be applied to labour-intensive services.","Auf der Grundlage der Berichte, die von den Mitgliedstaaten, die diese ermäßigten Sätze anwenden, vor dem 1. Oktober 2002 vorzulegen sind, hat die Kommission vor dem 31. Dezember 2002 dem Europäischen Parlament und dem Rat einen globalen Bewertungsbericht vorzulegen, dem gegebenenfalls ein Vorschlag für geeignete Maßnahmen im Hinblick auf eine endgültige Entscheidung über den auf arbeitsintensive Dienstleistungen anwendbaren Mehrwertsteuersatz beigefügt ist.",en-de,Tax & Financial Regulation,"member, reports, submit, commission, decision"
PHARMACEUTIC PRODUCTS USED AT INTERNATIONAL SPORTS EVENTS,PHARMAZEUTISCHE ERZEUGNISSE ZUR VERWENDUNG BEI INTERNATIONALEN SPORTVERANSTALTUNGEN,en-de,International Law,
CANADA,KANADA,en-de,Administrative Law,
Control is the power to govern the financial and operating policies of an economic activity so as to obtain benefits from it.,"Beherrschung ist die Möglichkeit, die Finanz- und Geschäftspolitik einer wirtschaftlichen Geschäftstätigkeit zu bestimmen, um daraus Nutzen zu ziehen.",en-de,Environmental Law,control
Member States may fix the minimum plot size and tree density at a higher level than those laid down in paragraph 3 according to objective criteria and in order to take into account the specific characteristic of the areas and productions concerned.,"Die Mitgliedstaaten können nach objektiven Kriterien eine höhere Mindestfläche und Mindestbaumbestandsdichte als diejenige gemäß Absatz 3 festsetzen, um den besonderen Merkmalen der betreffenden Flächen und Erzeugungen Rechnung zu tragen.",en-de,Healthcare Law,"member, order, account"
Commission Regulation (EC) No 729/2004 of 15 April 2004 concerning the classification of certain goods in the Combined Nomenclature,Verordnung (EG) Nr. 729/2004 der Kommission vom 15. April 2004 zur Einreihung von bestimmten Waren in die Kombinierte Nomenklatur,en-de,Administrative Law,"commission, regulation, goods"
"Member States shall apply a methodology, at national or regional level, of calculation of the energy performance of buildings on the basis of the general framework set out in the Annex.","Zur Berechnung der Gesamtenergieeffizienz von Gebäuden wenden die Mitgliedstaaten auf nationaler oder regionaler Ebene eine Methode an, die sich auf den im Anhang festgelegten allgemeinen Rahmen stützt.",en-de,Contract Law,"member, performance, energy, set"
"After the recording equipment has been checked on installation, an installation plaque which is clearly visible and easily accessible shall be affixed on, in or beside the recording equipment.",Nach der Einbauprüfung beim Ersteinbau wird am oder im Kontrollgerät selbst oder neben dem Gerät gut sichtbar ein Einbauschild angebracht.,en-de,Legal Theory & Latin Terms,recording
Deuxième cru classé,Deuxième cru classé,en-de,Administrative Law,
The applications shall be accompanied by all relevant information on the nature and extent of the problem and on the efforts undertaken by the natural gas undertaking to solve the problem.,Den Anträgen sind alle sachdienlichen Angaben über die Art und den Umfang des Problems und die von dem Erdgasunternehmen zu dessen Lösung unternommenen Anstrengungen beizufügen.,en-de,Legal Theory & Latin Terms,"information, relevant"
Flexible pipes and their joints must be able to withstand any stresses which may occur under normal operating conditions on board.,Die Schlauchleitungen und ihre Verbindungen müssen allen an Bord unter normalen Betriebsbedingungen auftretenden Beanspruchungen genügen.,en-de,Contract Law,
"""living aquatic resources"" means available and accessible living marine aquatic species, including anadromous and catadromous species during their marine life;","""lebende aquatische Ressourcen"": verfügbare und zugängliche lebende aquatische Arten einschließlich anadromer und katadromer Arten während ihres Lebens im Meer;",en-de,Environmental Law,
"Other long-term employee benefits are employee benefits (other than post-employment benefits, termination benefits and equity compensation benefits) which do not fall due wholly within 12 months after the end of the period in which the employees render the related service.","Andere langfristig fällige Leistungen an Arbeitnehmer sind Leistungen an Arbeitnehmer (außer Leistungen nach Beendigung des Arbeitsverhältnisses, Leistungen aus Anlass der Beendigung des Arbeitsverhältnisses und Kapitalbeteiligungsleistungen), die nicht innerhalb von 12 Monaten nach Ende der Berichtsperiode, in der die damit verbundene Arbeitsleistung erbracht wurde, in voller Höhe fällig werden.",en-de,Employment & Labor Law,"termination, employment, post, equity, employee, service, term, compensation, due"
"Where design contests are restricted to a limited number of participants, contracting entities shall establish clear and non-discriminatory selection criteria.",Bei Wettbewerben mit beschränkter Teilnehmerzahl legen die Auftraggeber eindeutige und nichtdiskriminierende Auswahlkriterien fest.,en-de,Contract Law,
"The Rules of Procedure of the Court of Justice of the European Communities of 19 June 1991 (OJ L 176, 4.7.1991, p. 7; corrigendum: OJ L 383, 29.12.1992, p. 117), as amended on 21 February 1995 (OJ L 44, 28.2.1995, p. 61), 11 March 1997 (OJ L 103, 19.4.1997, p. 1, with corrigendum: OJ L 351, 23.12.1997, p. 72), 16 May 2000 (OJ L 122, 24.5.2000, p. 43), 28 November 2000 (OJ L 322, 19.12.2000, p. 1), 3 April 2001 (OJ L 119, 27.4.2001, p. 1), 17 September 2002 (OJ L 272, 10.10.2002, p. 24, with corrigendum: OJ L 272, 19.10.2002, p. 24), and 8 April 2003 (OJ L 147, 14.6.2003, p. 17), are amended as follows:","Die am 19. Juni 1991 erlassene Verfahrensordnung des Gerichtshofes der Europäischen Gemeinschaften (ABl. L 176 vom 4.7.1991, S. 7, mit Berichtigung im ABl. L 383 vom 29.12.1992, S. 117), geändert am 21. Februar 1995 (ABl. L 44 vom 28.2.1995, S. 61), am 11. März 1997 (ABl. L 103 vom 19.4.1997, S. 1, mit Berichtigung im ABl. L 351 vom 23.12.1997, S. 72), am 16. Mai 2000 (ABl. L 122 vom 24.5.2000, S. 43, mit Berichtigung im ABl. L 43 vom 14.2.2001, S. 40, und im ABl. C 218 vom 13.9.2003, S. 7), am 28. November 2000 (ABl. L 322 vom 19.12.2000, S. 1), am 3. April 2001 (ABl. L 119 vom 27.4.2001, S. 1), am 17. September 2002 (ABl. L 272 vom 10.10.2002, S. 24, mit Berichtigung im ABl. L 281 vom 19.10.2002, S. 24) und am 8. April 2003 (ABl. L 147 vom 14.6.2003, S. 17), wird wie folgt geändert:",en-de,Civil Procedure & Litigation,"court, rules, justice, procedure"
The competent authorities of the Member States must have at their disposal such means of supervision as are necessary to ensure the orderly pursuit of business by assurance undertakings throughout the Community whether carried on under the right of establishment or the freedom to provide services.,"Die zuständigen Behörden der Mitgliedstaaten müssen über die notwendigen Aufsichtsmittel verfügen, um die geordnete Ausübung der Tätigkeit des Versicherungsunternehmens in der ganzen Gemeinschaft sowohl im Rahmen der Niederlassungsfreiheit als auch im Rahmen der Dienstleistungsfreiheit zu gewährleisten.",en-de,Administrative Law,"member, business, competent, right"
they have not fulfilled obligations relating to the payment of social security contributions or the payment of taxes in accordance with the legal provisions of the country in which they are established or with those of the country of the contracting authority or those of the country where the contract is to be performed;,"die ihrer Pflicht zur Entrichtung von Sozialversicherungsbeiträgen, Steuern oder sonstigen Abgaben nach den Rechtsvorschriften des Landes ihrer Niederlassung, des Landes des öffentlichen Auftraggebers oder des Landes der Auftragserfüllung nicht nachgekommen sind;",en-de,Tax & Financial Regulation,"contract, security, authority"
"suspension of imports of the food or feed in question from all or part of the third country concerned and, where applicable, from the third country of transit;","Aussetzung der Einfuhr des fraglichen Lebensmittels oder Futtermittels aus dem gesamten betroffenen Drittland oder aus einem Gebiet dieses Landes sowie gegebenenfalls aus dem Durchfuhrdrittland,",en-de,Administrative Law,
the Committee of the Security Council of the United Nations which was established pursuant to paragraph 21 of UNSCR 1521 (2003);,Ausschuss des Sicherheitsrats der Vereinten Nationen nach Ziffer 21 der UNSCR 1521 (2003);,en-de,Administrative Law,security
"which is not used to comply with the specific stocking density requirements referred to in Article 134(3), and",das nicht zur Erfuellung der spezifischen Besatzdichteauflagen gemäß Artikel 134 Absatz 3 genutzt wird und,en-de,Legal Theory & Latin Terms,article
"the integrity of the propulsion system (i.e. engine and, where appropriate, propeller) must be demonstrated throughout, and sufficiently beyond, the operational envelope of the propulsion system and must be maintained for the operational life of the propulsion system.",Die Integrität des Antriebssystems (d. h. des Triebwerks und gegebenenfalls des Propellers) muss über den gesamten Betriebsbereich des Antriebssystems und in ausreichendem Maße darüber hinaus während der Betriebslebensdauer des Antriebssystems nachweislich sichergestellt sein.,en-de,Administrative Law,
See page 1 of this Official Journal.,(2)Siehe Seite 1 dieses Amtsblatts.,en-de,Legal Theory & Latin Terms,"official, journal"
The reference period for the information to be provided in accordance with Article 5 shall be the calendar month of dispatch or arrival of the goods.,Bezugszeitraum für die gemäß Artikel 5 bereitzustellenden Informationen ist der Kalendermonat der Versendung oder des Eingangs der Waren.,en-de,Legal Theory & Latin Terms,"calendar, article, information, goods"
Information appearing on the eco-label,Für das Umweltzeichen vorgeschriebene Angaben,en-de,Legal Theory & Latin Terms,information
Community list of authorised primary products,Gemeinschaftsliste zugelassener Primärprodukte,en-de,Administrative Law,
the way in which the enterprise's circumstances differ from those of other enterprises which follow the requirement.,"die Art und Weise, in der die Umstände des Unternehmens von denen anderer Unternehmen abweichen, die die Vorschriften befolgen.",en-de,Administrative Law,
for Paris and the Paris Region:,FÜR PARIS UND DEN RAUM PARIS :,en-de,Administrative Law,
"In order to seek the repeal in accordance with Article 44 of the measures provided for in Articles 37 to 43, holdings within the perimeters of the surveillance zone where the presence of foot-and-mouth disease in the absence of clinical signs must be suspected, notably where sheep and goats are kept, shall be examined.","Sollen gemäß Artikel 44 die in den Artikeln 37 bis 43 vorgesehenen Maßnahmen aufgehoben werden, so werden alle Haltungsbetriebe, vor allem Schaf- und Ziegenhaltungsbetriebe, innerhalb der Überwachungszone, in denen trotz fehlender klinischer Symptome dennoch Seuchenverdacht besteht, untersucht.",en-de,Healthcare Law,"repeal, order, article, surveillance"
"Measures to protect investors should be adapted to the particularities of each category of investors (retail, professional and counterparties).","Die Vorkehrungen zum Schutz der Anleger sollten den Eigenheiten jeder Anlegerkategorie (Kleinanleger, professionelle Kunden, Gegenparteien) angepasst sein.",en-de,Legal Theory & Latin Terms,
The tissue establishment shall not undertake any substantial changes to its activities without the prior written approval of the competent authority or authorities.,Die Gewebeeinrichtung darf ohne vorherige schriftliche Zustimmung der zuständigen Behörde(n) keine wesentlichen Änderungen ihrer Tätigkeiten vornehmen.,en-de,Intellectual Property (IP),"competent, authority"
"For purposes of information required in this Form, reportable markets consist of all relevant product and geographic markets, as well as plausible alternative relevant product and geographic market definitions, on the basis of which:","Als anzeigepflichtige Märkte, zu denen in diesem Formblatt Angaben zu machen sind, gelten jene (sachlich und räumlich) relevanten Märkte (einschließlich alternativer Marktdefinitionen), in denen",en-de,Legal Theory & Latin Terms,"information, definitions, relevant"
"(Attach a dimensional sketch of each axle, together with a statement of the materials used and (optionally) of the make and type)",(Eine Maßskizze jeder Achse mit Angabe der Werkstoffe sowie nach Belieben mit Angaben über Fabrikmarke und Typ),en-de,Administrative Law,make
"if necessary, a warning concerning certain visible signs of deterioration;","gegebenenfalls Warnung vor bestimmten sichtbaren Anzeichen dafür, dass ein Arzneimittel nicht mehr zu verwenden ist,",en-de,Administrative Law,
Remerschen,Remerschen,en-de,Administrative Law,
(Second indent of Article 43(2) of Regulation (EC) No 1257/1999),(Artikel 43 Absatz 2 zweiter Gedankenstrich der Verordnung (EG) Nr. 1257/1999),en-de,Administrative Law,"article, regulation"
"In the case referred to in the second sentence of Article 60 (2) (b) of the Regulation, paragraph 2 shall apply by analogy.",ABSATZ 2 GILT IN DEM IN ARTIKEL 60 ABSATZ 2 BUCHSTABE B) SATZ 2 DER VERORDNUNG GENANNTEN FALL ENTSPRECHEND.,en-de,Administrative Law,"sentence, article, case, regulation"
"However, the liver and kidney are frequently removed from carcases moving in international trade, and maximum residue limits should therefore also always be established for muscle or fat tissues.",Leber und Nieren werden im internationalen Handel jedoch häufig aus den Schlachtkörpern entfernt. Aus diesem Grund sollten auch stets Hoechstmengen für Rückstände im Muskel- oder Fettgewebe festgesetzt werden.,en-de,International Law,residue
Vieilles vignes,Vieilles vignes,en-de,Administrative Law,
"Following the initiation of the proceedings, the Commission shall commence an investigation which shall cover both subsidisation or unfair pricing practices of air services supplied by non-Community carriers on certain routes, and injury.",Nach Einleitung des Verfahrens beginnt die Kommission eine Untersuchung über die Subventionierung oder unlautere Preisbildungspraktiken bei Flugverkehrsdiensten von gemeinschaftsfremden Luftfahrtunternehmen auf bestimmten Strecken sowie über Schädigungen.,en-de,Administrative Law,"injury, commission, investigation"
"Polymer of N,N,N,N-tetramethyl-ethane-1,2-diamine and (chloromethyl)oxirane","1,2-Ethandiamin-N,N,N,N-tetramethyl-, Polymer mit (Chlormethyl)oxiran",en-de,Administrative Law,
"The provision of services by rapporteurs or experts shall be governed by a written contract between the Agency and the person concerned, or where appropriate between the Agency and his employer.",Die Erbringung von Leistungen durch Berichterstatter oder Sachverständige wird durch einen schriftlichen Vertrag zwischen der Agentur und der betreffenden Person oder gegebenenfalls zwischen der Agentur und dem Arbeitgeber der betreffenden Person geregelt.,en-de,Administrative Law,"contract, employer, person, agency"
Such a deductible temporary difference results in a deferred tax asset as economic benefits will flow to the enterprise in the form of a deduction from taxable profits when contributions or retirement benefits are paid;,"Eine derartige abzugsfähige temporärer Differenz hat einen latenten Steueranspruch zur Folge, da die Verminderung des zu versteuernden Einkommens durch die Bezahlung von Beiträgen oder Versorgungsleistungen für das Unternehmen einen Zufluss an wirtschaftlichem Nutzen bedeutet;",en-de,Tax & Financial Regulation,"deduction, asset, tax, will, deductible"
"GRANTING OF THE RELIEF SHALL BE SUBJECT TO A DECISION BY THE COMMISSION , ACTING AT THE REQUEST OF THE MEMBER STATE OR STATES CONCERNED IN ACCORDANCE WITH AN EMERGENCY PROCEDURE ENTAILING THE CONSULTATION OF THE OTHER MEMBER STATES.","DIE BEFREIUNG KANN NUR AUFGRUND EINER ENTSCHEIDUNG GEWÄHRT WERDEN , DIE DIE KOMMISSION AUF ANTRAG DES ODER DER BETROFFENEN MITGLIEDSTAATEN IM RAHMEN EINES DRINGLICHKEITSVERFAHRENS NACH ANHÖRUNG DER ANDEREN MITGLIEDSTAATEN ERLÄSST.",en-de,Civil Procedure & Litigation,"relief, state, member, emergency, commission, decision, request, procedure"
Information on the potential recalcitrant metabolites,Informationen über potenziell abbauresistente Metaboliten,en-de,Legal Theory & Latin Terms,information
"Member States shall notify these provisions to the Commission by 31 December 2003 at the latest, and shall notify it without delay of any subsequent amendment affecting them.",Die Mitgliedstaaten teilen der Kommission diese Vorschriften spätestens am 31. Dezember 2003 mit und melden ihr spätere Änderungen unverzüglich.,en-de,Tax & Financial Regulation,"member, commission"
"OJ C 154 E, 29.5.2001, p. 41.","ABl. C 154 E vom 29.5.2001, S. 41.",en-de,Administrative Law,
be initial and recurrent;,als Erst- und Auffrischungsschulung durchgeführt werden;,en-de,Administrative Law,
the grouping of single consignments;,"die Zusammenfassung von Einzelladungen,",en-de,Legal Theory & Latin Terms,
"Information, stored in a vehicle unit, related to its last download (requirement 105).",In einer Fahrzeugeinheit gespeicherte Information zu ihrem letzten Herunterladen (Randnummer 105).,en-de,Legal Theory & Latin Terms,information
"however, the information available at present still does not allow to reduce the protection measures laid down in the present Decision to a confined area.",Die derzeit vorliegenden Informationen ermöglichen jedoch noch keine Beschränkung der Schutzmaßnahmen dieser Entscheidung auf ein begrenztes Gebiet.,en-de,Legal Theory & Latin Terms,"information, decision"
aid granted for socio-economic measures;,Beihilfe für sozioökonomische Maßnahmen;,en-de,Administrative Law,
"If the result of one of those examinations is positive, the animal shall be regarded as a positive scrapie case.""","Ist das Ergebnis einer der genannten Untersuchungen positiv, gilt das Tier als positiver Fall der Traberkrankheit.""",en-de,Civil Procedure & Litigation,case
Action to combat IUU fishing,Maßnahmen zur Bekämpfung der IUU-Fischerei,en-de,Legal Theory & Latin Terms,
"However, all documents and evidence must be available to the competent authorities.",Sämtliche Dokumente und Belege müssen jedoch den zuständigen Behörden zugänglich sein.,en-de,Evidence Law,"competent, evidence"
the use of foot-and-mouth disease vaccines and the administration of hyperimmune sera against foot-and-mouth disease are prohibited on their territory except as provided for in this Directive;,die Verwendung von MKS-Impfstoffen und die Verabreichung von hyperimmunen MKS-Antiseren außer in den in dieser Richtlinie vorgesehenen Fällen in ihrem Hoheitsgebiet verboten wird;,en-de,Administrative Law,use
Reserved for manufacturers which name begins with 'Y',"Reserviert für Hersteller, deren Name mit ""Y"" beginnt",en-de,Administrative Law,
"Whereas, accordingly, it is opportune to define new procedures for the application of the provisions of Chapter VII of the Treaty;","Es ist daher zweckmässig, neue Durchführungsvorschriften für Kapitel VII des Vertrages festzulegen.",en-de,International Law,treaty
"""Mail"":","""Post"":",en-de,Administrative Law,
"By way of derogation from the co-financing requirement in connection with grants, referred to in Article 109 of the Financial Regulation, the financing of an action in full may be authorised in the following cases, save where prohibited by the basic act:","Abweichend von der Verpflichtung zur Kofinanzierung bei Finanzhilfen gemäß Artikel 109 der Haushaltsordnung kann die Vollfinanzierung einer Maßnahme in folgenden Fällen zugelassen werden, sofern der Basisrechtsakt dies nicht untersagt:",en-de,Administrative Law,"article, act, regulation"
Algeria - Spain - France,Algerien - Spanien - Frankreich,en-de,Administrative Law,
Article 71h,Artikel 71h,en-de,Legal Theory & Latin Terms,article
Margosa ext.,"Margosa, Extrakt",en-de,Administrative Law,
Overcoming these obstacles means adopting a new approach to Community policies to bring them closer to individual citizens and businesses in order to change patterns of consumption and investment.,"Zur Überwindung dieser Hindernisse ist ein neuer Ansatz der Gemeinschaftspolitiken erforderlich; es gilt, sie den Bürgern und den Unternehmen näher zu bringen, um die Verbrauchs- und Investitionsmuster zu ändern.",en-de,Legal Theory & Latin Terms,"order, approach, investment"
"Countries of destination may grant to one or more exporting countries general authorisations or authorisations restricted to specific cases for the introduction into their territory of fresh meat, in derogation from Article 3 (a) does not come from animals which have stayed in the territory of the Community for at least twenty-one days immediately prior to slaughter or since birth in the case of animals less than twenty-one days old.","Die Bestimmungsländer können für den Einzelfall oder allgemein einem oder mehreren Versandländern Genehmigungen erteilen, wonach in ihr Hoheitsgebiet auch frisches Fleisch verbracht werden darf, das in Abweichung von Artikel 3 Buchstabe a) nicht von Tieren stammt, die mindestens während der letzten einundzwanzig Tage vor der Schlachtung oder, wenn es sich um Tiere handelt, die jünger als einundzwanzig Tage sind, seit ihrer Geburt im Gebiet der Gemeinschaft gehalten worden sind.",en-de,Legal Theory & Latin Terms,"grant, article, case"
Warming up of the engine and the system shall be at maximum speed and torque in order to stabilise the engine parameters according to the recommendations of the manufacturer.,"Den Motor und das System bei Hoechstdrehzahl und maximalem Drehmoment warmlaufen lassen, um die Motorkennwerte entsprechend den Empfehlungen des Herstellers zu stabilisieren.",en-de,Administrative Law,order
"in the case of wax, the material has been refined or rendered before exportation;",sie - im Falle von Wachs - vor der Ausfuhr raffiniert und ausgeschmolzen wurden;,en-de,Legal Theory & Latin Terms,"material, case"
Stockholm interbank borrowing offered rate (STIBOR),Stockholm interbank borrowing offered rate (STIBOR),en-de,Administrative Law,
"They shall also keep accounts, which may be consolidated, for other gas activities not relating to transmission, distribution, LNG and storage.","Sie führen auch Konten für andere, nicht mit den Bereichen Fernleitung, Verteilung, LNG und Speicherung zusammenhängende Tätigkeiten im Erdgasbereich, wobei diese Konten konsolidiert sein können.",en-de,Family Law & Estates/Trusts,distribution
"In its Resolution of 13 June 1997 on the role of the European Union in the field of sport(7), the European Parliament called for the organisation of a European Year of Sport.","Das Europäische Parlament hatte in seiner Entschließung vom 13. Juni 1997 über die Rolle der Europäischen Union im Sportbereich(7) angeregt, ein Europäisches Jahr des Sports zu veranstalten.",en-de,Administrative Law,resolution
Article 1 is amended as follows:,1. Artikel 1 wird wie folgt geändert:,en-de,Legal Theory & Latin Terms,article
"In addition, the decision regarding applications for export licences should be communicated only after a period of consideration.","Außerdem empfiehlt es sich, die Entscheidungen über die Anträge auf Ausfuhrlizenzen erst nach einer Bedenkzeit bekannt zu geben.",en-de,Contract Law,"decision, consideration"
LIKE ARTICLES OF A KIND COMMONLY USED FOR SOUND OF SIMILAR RECORDINGS,MATRIZEN UND GALVANOPLASTISCHE FORMEN ZUM HERSTELLEN VON SCHALLPLATTEN :,en-de,Legal Theory & Latin Terms,
"name, address and other relevant particulars of the importer or importing company;","Name, Anschrift und sonstige relevante Angaben zum Importeur bzw. dem einführenden Unternehmen",en-de,Legal Theory & Latin Terms,"company, relevant"
"Where applicable, the persons authorised to be present at the opening of tenders;","Gegebenenfalls Personen, die bei der Öffnung der Angebote anwesend sein dürfen.",en-de,Administrative Law,
All damage to or loss of - land motor vehicles,Sämtliche Schäden an: - Kraftfahrzeugen,en-de,Administrative Law,"land, loss"
grade A eggs which no longer meet the characteristics of that grade but have not been regraded;,"die Eier der Klasse A, die nicht mehr die Merkmale dieser Güteklasse aufweisen, soweit sie nicht neu sortiert worden;",en-de,Administrative Law,
"With respect to the provisions of paragraph 1, points (b), (d), (e), (f) and (g), the Member State concerned may restrict equal treatment to cases where the registered or usual place of residence of the long-term resident, or that of family members for whom he/she claims benefits, lies within the territory of the Member State concerned.","In Bezug auf Absatz 1 Buchstaben b), d), e), f) und g) kann der betreffende Mitgliedstaat die Gleichbehandlung auf die Fälle beschränken, in denen der Wohnsitz oder der gewöhnliche Aufenthaltsort des langfristig Aufenthaltsberechtigten oder seiner Familienangehörigen, für die er Leistungen beansprucht, im Hoheitsgebiet des betreffenden Mitgliedstaats liegt.",en-de,Family Law & Estates/Trusts,"state, member, residence, resident, family, term, claims"
Commission Regulation (EC) No 2035/2003 of 19 November 2003 amending Regulation (EC) No 296/96 on data to be forwarded by the Member States and the monthly booking of expenditure financed under the Guarantee Section of the Agricultural Guidance and Guarantee Fund (EAGGF),"Verordnung (EG) Nr. 2035/2003 der Kommission vom 19. November 2003 zur Änderung der Verordnung (EG) Nr. 296/96 über die von den Mitgliedstaaten zu übermittelnden Angaben und zur monatlichen Übernahme der vom Europäischen Ausrichtungs- und Garantiefonds für die Landwirtschaft (EAGFL), Abteilung Garantie, finanzierten Ausgaben",en-de,Administrative Law,"regulation, member, booking, guarantee, commission"
for the purposes of Articles 7 and 14; the definition of air carrier shall also include all civil aircraft operators;,für die Zwecke der Artikel 7 und 14 schließt die Begriffsbestimmung für Luftfahrtunternehmen auch alle Betreiber ziviler Luftfahrzeuge ein;,en-de,Legal Theory & Latin Terms,"carrier, civil"
