legal_term,category
incorporeal ownership,Intellectual Property (IP)
incriminate,Legal Theory & Latin Terms
incumber,Legal Theory & Latin Terms
incumbrance,Legal Theory & Latin Terms
incurable insanity,Legal Theory & Latin Terms
indecent exposure,Legal Theory & Latin Terms
indefeasible,Legal Theory & Latin Terms
indefeasible remainder,Property & Real Estate Law
indemnify,Legal Theory & Latin Terms
indemnity,Contract Law
indenture,Securities & Corporate Law
independent contractor,Contract Law
independent trustee,Family Law & Estates/Trusts
indeterminate sentence,Criminal Law & Procedure
index (finance),Legal Theory & Latin Terms
Indian Child Welfare Act (ICWA),Family Law & Estates/Trusts
indicia,Legal Theory & Latin Terms
indictable offense,Legal Theory & Latin Terms
indictment,Criminal Law & Procedure
indictment of presidents,Criminal Law & Procedure
indigenous,Legal Theory & Latin Terms
indigent,Legal Theory & Latin Terms
indirect infringement,Intellectual Property (IP)
indispensable party,Legal Theory & Latin Terms
individual retirement account (IRA),Tax & Financial Regulation
Individual Taxpayer Identification Number (ITIN),Tax & Financial Regulation
individualized education program,Legal Theory & Latin Terms
Individuals with Disabilities Education Act (IDEA),Legal Theory & Latin Terms
indorse,Legal Theory & Latin Terms
indorsement,Legal Theory & Latin Terms
inducement of infringement,Intellectual Property (IP)
industrial development,Civil Procedure & Litigation
industrial unionism,Civil Procedure & Litigation
industrial zoning,Civil Procedure & Litigation
ineffective assistance of counsel,Legal Theory & Latin Terms
inequity,Legal Theory & Latin Terms
inevitable discovery rule,Civil Procedure & Litigation
infamous crime,Criminal Law & Procedure
infancy,Legal Theory & Latin Terms
inference,Legal Theory & Latin Terms
inflation,Legal Theory & Latin Terms
informal adjudication,Administrative Law
informal rulemaking,Administrative Law
information,Legal Theory & Latin Terms
information and belief,Legal Theory & Latin Terms
informed consent,Healthcare Law
informed consent doctrine,Healthcare Law
infra,Legal Theory & Latin Terms
infraction,Legal Theory & Latin Terms
infringement,Intellectual Property (IP)
infringement (of copyright),Intellectual Property (IP)
infringement (of trademark),Intellectual Property (IP)
infringement (of utility patent),Intellectual Property (IP)
ingress,Legal Theory & Latin Terms
inherent authority,Intellectual Property (IP)
inherit,Family Law & Estates/Trusts
inheritance,Family Law & Estates/Trusts
inheritance tax,Family Law & Estates/Trusts
inheritors,Legal Theory & Latin Terms
initial appearance,Legal Theory & Latin Terms
initial public offering (IPO),Contract Law
injunction,Civil Procedure & Litigation
injunctive relief,Civil Procedure & Litigation
injury,Legal Theory & Latin Terms
inlining,Legal Theory & Latin Terms
innocent,Criminal Law & Procedure
innocent spouse rule,Criminal Law & Procedure
innuendo,Legal Theory & Latin Terms
inquest,Legal Theory & Latin Terms
INS,Bankruptcy Law
insanity,Legal Theory & Latin Terms
insanity and diminished capacity,Administrative Law
insanity defense,Legal Theory & Latin Terms
insertion,Legal Theory & Latin Terms
insider,Securities & Corporate Law
insider trading,Securities & Corporate Law
insolvency,Bankruptcy Law
inspection of documents,Legal Theory & Latin Terms
installment agreement,Contract Law
installment contract,Contract Law
installment sale,Legal Theory & Latin Terms
instance and expense test,Legal Theory & Latin Terms
instant,Legal Theory & Latin Terms
institutional investor,Legal Theory & Latin Terms
instruction,Legal Theory & Latin Terms
instrument,Legal Theory & Latin Terms
instrumentalities,Legal Theory & Latin Terms
insufficient evidence,Evidence Law
insurance,Property & Real Estate Law
insurance fraud,Criminal Law & Procedure
insured,Legal Theory & Latin Terms
insurer,Legal Theory & Latin Terms
insurrection,Legal Theory & Latin Terms
intangible property,Property & Real Estate Law
integrated pension plan,Tax & Financial Regulation
integration,Contract Law
integration clause,Contract Law
intellectual property,Intellectual Property (IP)
Intellectual Property Clause,Property & Real Estate Law
intended beneficiary,Family Law & Estates/Trusts
intent,Torts
intent to levy,Legal Theory & Latin Terms
intent-to-use application (ITU),Legal Theory & Latin Terms
intentional infliction of emotional distress,Torts
intentional interference with contractual relations,Contract Law
intentional tort,Torts
inter alia,Legal Theory & Latin Terms
inter partes,Legal Theory & Latin Terms
inter se,Legal Theory & Latin Terms
inter vivos,Legal Theory & Latin Terms
inter vivos transfer,Legal Theory & Latin Terms
inter vivos trust,Family Law & Estates/Trusts
interest,Legal Theory & Latin Terms
interested witness,Criminal Law & Procedure
interference,Legal Theory & Latin Terms
interim order,Legal Theory & Latin Terms
interlineation,Legal Theory & Latin Terms
interlocutory,Legal Theory & Latin Terms
interlocutory appeal,Civil Procedure & Litigation
interlocutory decree,Legal Theory & Latin Terms
interlocutory judgment,Civil Procedure & Litigation
interlocutory order,Legal Theory & Latin Terms
intermediate scrutiny,Legal Theory & Latin Terms
intermittent leave,Legal Theory & Latin Terms
Internal Revenue Code,Tax & Financial Regulation
Internal Revenue Code (IRC),Tax & Financial Regulation
Internal Revenue Service (IRS),Tax & Financial Regulation
International Atomic Energy Agency,Administrative Law
International Bank of Reconstruction and Development,International Law
international conventions,International Law
International Court of Justice,International Law
international crimes,Criminal Law & Procedure
International Criminal Court,Criminal Law & Procedure
international criminal law,Criminal Law & Procedure
International Criminal Tribunal for Rwanda,Criminal Law & Procedure
International Criminal Tribunal for Yugoslavia,Criminal Law & Procedure
international criminal tribunals,Criminal Law & Procedure
international economic law,International Law
international environmental law,Environmental Law
International Financial Reporting Standards,Tax & Financial Regulation
international humanitarian law,International Law
international law,International Law
International Monetary Fund,International Law
international trade,International Law
International Traffic in Arms Regulations (ITAR),Tax & Financial Regulation
Internet,Legal Theory & Latin Terms
internet service provider (ISP),Immigration & Naturalization Law
interpleader,Criminal Law & Procedure
interrogation,Legal Theory & Latin Terms
interrogatories,Legal Theory & Latin Terms
interrogatory,Civil Procedure & Litigation
interstate commerce,Legal Theory & Latin Terms
intervene,Legal Theory & Latin Terms
intervening cause,Legal Theory & Latin Terms
intervention,Legal Theory & Latin Terms
intestacy,Family Law & Estates/Trusts
intestacy rules,Family Law & Estates/Trusts
intestate,Family Law & Estates/Trusts
intestate succession,Family Law & Estates/Trusts
intimidation,Legal Theory & Latin Terms
intoxication,Legal Theory & Latin Terms
intrinsic fraud,Criminal Law & Procedure
intrusion on seclusion,Tax & Financial Regulation
inure,Legal Theory & Latin Terms
inurement,Legal Theory & Latin Terms
invasion of privacy,Torts
inventor,Legal Theory & Latin Terms
inventory,Legal Theory & Latin Terms
inverse condemnation,Legal Theory & Latin Terms
invest,Legal Theory & Latin Terms
investigation,Legal Theory & Latin Terms
investigative background check,Legal Theory & Latin Terms
investigative consumer report,Legal Theory & Latin Terms
investigatory power,Legal Theory & Latin Terms
investigatory stops,Legal Theory & Latin Terms
investment,Legal Theory & Latin Terms
investment adviser,Legal Theory & Latin Terms
Investment Company Act,Legal Theory & Latin Terms
investment property,Property & Real Estate Law
investor,Legal Theory & Latin Terms
Investor Protection Guide: Advance Fee Fraud,Criminal Law & Procedure
Investor Protection Guide: Advice to Take Early Retirement,Immigration & Naturalization Law
Investor Protection Guide: Affinity Fraud,Criminal Law & Procedure
Investor Protection Guide: Auction Rate Securities,Tax & Financial Regulation
Investor Protection Guide: Equity-Indexed Annuities,Legal Theory & Latin Terms
Investor Protection Guide: Internet Fraud,Criminal Law & Procedure
Investor Protection Guide: Investment Newsletters,Legal Theory & Latin Terms
"Investor Protection Guide: Investment Seminars (""Free Lunch"")",Legal Theory & Latin Terms
"Investor Protection Guide: Micro-cap Stock Fraud (""Pump and Dump"")",Criminal Law & Procedure
Investor Protection Guide: Misleading Senior Designations,Legal Theory & Latin Terms
Investor Protection Guide: Ponzi Scheme,Legal Theory & Latin Terms
Investor Protection Guide: Prime Bank Schemes,Legal Theory & Latin Terms
Investor Protection Guide: Promissory Note Scam,Legal Theory & Latin Terms
Investor Protection Guide: Pyramid Scheme,Legal Theory & Latin Terms
Investor Protection Guide: Systematic Investment Plan (SIP),Intellectual Property (IP)
Investor Protection Guide: Viaticals,Legal Theory & Latin Terms
invidious discrimination,Employment & Labor Law
invitee,Legal Theory & Latin Terms
involuntary,Legal Theory & Latin Terms
involuntary civil commitment,Civil Procedure & Litigation
involuntary intoxication,Legal Theory & Latin Terms
IP,Intellectual Property (IP)
IP address,Intellectual Property (IP)
ipse dixit,Intellectual Property (IP)
ipso facto,Legal Theory & Latin Terms
IRA,Tax & Financial Regulation
Iraq War Resolution of 2002,Tax & Financial Regulation
IRC,Legal Theory & Latin Terms
irreconcilable differences,Legal Theory & Latin Terms
irrelevant,Legal Theory & Latin Terms
irremediable or irretrievable breakdown,Legal Theory & Latin Terms
irreparable harm,Environmental Law
irreparable injury,Environmental Law
irresistible impulse test,Legal Theory & Latin Terms
irrevocable life insurance trust (ILIT),Family Law & Estates/Trusts
irrevocable trust,Family Law & Estates/Trusts
IRS,Tax & Financial Regulation
IRS expenses,Tax & Financial Regulation
IRS regulations,Tax & Financial Regulation
ISP,Legal Theory & Latin Terms
issuance,Legal Theory & Latin Terms
issue,Legal Theory & Latin Terms
issue preclusion,Legal Theory & Latin Terms
issuer,Legal Theory & Latin Terms
itemized deductions,Tax & Financial Regulation
J.,Legal Theory & Latin Terms
J.D.,Legal Theory & Latin Terms
JAG,Legal Theory & Latin Terms
jail,Legal Theory & Latin Terms
Jane Doe,Legal Theory & Latin Terms
jaywalking,Legal Theory & Latin Terms
jeopardy,Criminal Law & Procedure
jingle rule,Administrative Law
JMOL,Legal Theory & Latin Terms
JNOV,Legal Theory & Latin Terms
jobber,Legal Theory & Latin Terms
Jobs and Growth Tax Relief Reconciliation Act of 2003,Tax & Financial Regulation
John Doe,Legal Theory & Latin Terms
joinder,Legal Theory & Latin Terms
joinder of issue,Legal Theory & Latin Terms
joint,Property & Real Estate Law
joint adventure,Legal Theory & Latin Terms
joint and several,Legal Theory & Latin Terms
joint and several liability,Contract Law
joint criminal enterprise,Criminal Law & Procedure
joint custody,Family Law & Estates/Trusts
joint defendant,Criminal Law & Procedure
joint enterprise,Legal Theory & Latin Terms
joint liability,Contract Law
joint ownership,Intellectual Property (IP)
joint powers agreement,Contract Law
joint resolution of Congress,Legal Theory & Latin Terms
joint stock company,Tax & Financial Regulation
joint tax return,Tax & Financial Regulation
joint tenancy,Property & Real Estate Law
joint tortfeasors,Torts
joint venture,Legal Theory & Latin Terms
joint work,Legal Theory & Latin Terms
Jones Act,Legal Theory & Latin Terms
journal,Legal Theory & Latin Terms
joyriding,Legal Theory & Latin Terms
judge,Administrative Law
judge advocate,Legal Theory & Latin Terms
Judge Advocate General Corps,Legal Theory & Latin Terms
judgment,Civil Procedure & Litigation
judgment as a matter of law,Civil Procedure & Litigation
judgment by default,Civil Procedure & Litigation
judgment creditor,Civil Procedure & Litigation
judgment debt,Civil Procedure & Litigation
judgment debtor,Civil Procedure & Litigation
judgment lien,Civil Procedure & Litigation
judgment notwithstanding the verdict,Civil Procedure & Litigation
judgment notwithstanding the verdict (JNOV),Civil Procedure & Litigation
judgment proof,Civil Procedure & Litigation
judgment-proof,Civil Procedure & Litigation
judicial,Evidence Law
judicial activism,Legal Theory & Latin Terms
judicial administration,Legal Theory & Latin Terms
judicial bypass,Legal Theory & Latin Terms
judicial discretion,Legal Theory & Latin Terms
judicial ethics,Legal Theory & Latin Terms
judicial foreclosure,Legal Theory & Latin Terms
judicial notice,Immigration & Naturalization Law
judicial proceeding,Legal Theory & Latin Terms
judicial review,Legal Theory & Latin Terms
judicial sale,Legal Theory & Latin Terms
judiciary,Legal Theory & Latin Terms
Judiciary Act of 1789,Legal Theory & Latin Terms
jumbo loan,Legal Theory & Latin Terms
jump bail,Criminal Law & Procedure
junior lien,Contract Law
jurat,Legal Theory & Latin Terms
Juris Doctor (J.D.),Healthcare Law
jurisdiction,Civil Procedure & Litigation
jurisdictional amount,Civil Procedure & Litigation
jurisprudence,Legal Theory & Latin Terms
jurist,Legal Theory & Latin Terms
juror,Legal Theory & Latin Terms
jury,Criminal Law & Procedure
jury box,Legal Theory & Latin Terms
jury duty,Legal Theory & Latin Terms
jury fees,Legal Theory & Latin Terms
jury instruction,Legal Theory & Latin Terms
jury instructions,Legal Theory & Latin Terms
jury nullification,Legal Theory & Latin Terms
jury of one's peers,Legal Theory & Latin Terms
jury panel,Legal Theory & Latin Terms
jury selection,Civil Procedure & Litigation
jury stress,Legal Theory & Latin Terms
jury tampering,Legal Theory & Latin Terms
jury trial,Civil Procedure & Litigation
jus cogens,Legal Theory & Latin Terms
jus naturale,Legal Theory & Latin Terms
jus tertii,Legal Theory & Latin Terms
just cause,Legal Theory & Latin Terms
just compensation,Legal Theory & Latin Terms
justice,Immigration & Naturalization Law
justice of the peace (JP),Immigration & Naturalization Law
justice system,Immigration & Naturalization Law
justiciability,Legal Theory & Latin Terms
justiciable,Legal Theory & Latin Terms
justifiable homicide,Criminal Law & Procedure
justification,Legal Theory & Latin Terms
juvenile,Legal Theory & Latin Terms
juvenile court,Civil Procedure & Litigation
juvenile delinquent,Legal Theory & Latin Terms
juvenile justice,Immigration & Naturalization Law
K,Intellectual Property (IP)
kangaroo court,Civil Procedure & Litigation
Kavanaugh stop,Legal Theory & Latin Terms
Kennedy v. Bremerton (2022),Legal Theory & Latin Terms
Keogh plan,Legal Theory & Latin Terms
key employee,Employment & Labor Law
kickbacks,Legal Theory & Latin Terms
kidnapping,Criminal Law & Procedure
kin,Administrative Law
kindred,Legal Theory & Latin Terms
King's Bench,Legal Theory & Latin Terms
kiter,Legal Theory & Latin Terms
kiting,Legal Theory & Latin Terms
knock and announce,Legal Theory & Latin Terms
knock-and-announce rule,Administrative Law
know-how,Legal Theory & Latin Terms
Korematsu v. United States (1944),Legal Theory & Latin Terms
L.W.O.P.,Legal Theory & Latin Terms
L3C,Legal Theory & Latin Terms
labor,Employment & Labor Law
labor and materials (time and materials),Employment & Labor Law
labor certification,Employment & Labor Law
labor lien,Contract Law
labor union,Employment & Labor Law
laborer's lien,Contract Law
Lacey Act,Legal Theory & Latin Terms
laches,Legal Theory & Latin Terms
laissez-faire,Legal Theory & Latin Terms
land,Property & Real Estate Law
land trust,Property & Real Estate Law
land use,Property & Real Estate Law
landlady,Property & Real Estate Law
landlocked,Property & Real Estate Law
landlord,Property & Real Estate Law
landlord and tenant,Property & Real Estate Law
landlord's lien,Property & Real Estate Law
landlord-tenant law,Property & Real Estate Law
Langdell method,Legal Theory & Latin Terms
Lanham Act,Legal Theory & Latin Terms
Lapp test,Legal Theory & Latin Terms
lapse,Legal Theory & Latin Terms
lapse statute,Legal Theory & Latin Terms
larceny,Criminal Law & Procedure
larceny by trick,Criminal Law & Procedure
large accelerated filer,Legal Theory & Latin Terms
last antecedent rule,Administrative Law
last clear chance,Legal Theory & Latin Terms
last will and testament,Family Law & Estates/Trusts
latent ambiguity,Legal Theory & Latin Terms
latent defect,Legal Theory & Latin Terms
lateral support,Family Law & Estates/Trusts
law,Civil Procedure & Litigation
law and economics,Legal Theory & Latin Terms
law and motion calendar,Civil Procedure & Litigation
law enforcement,Legal Theory & Latin Terms
Law French,Legal Theory & Latin Terms
law in action,Legal Theory & Latin Terms
law in books,Legal Theory & Latin Terms
Law Latin,Legal Theory & Latin Terms
law of admiralty,Tax & Financial Regulation
law of indivisible injury,Legal Theory & Latin Terms
law of the case,Legal Theory & Latin Terms
law of the land,Property & Real Estate Law
law school,Legal Theory & Latin Terms
lawful issue,Legal Theory & Latin Terms
lawful permanent resident (LPR),Legal Theory & Latin Terms
lawsuit,Civil Procedure & Litigation
lawyer,Legal Theory & Latin Terms
lay a foundation,Evidence Law
lay witness,Criminal Law & Procedure
lead hazard,Legal Theory & Latin Terms
leading question,Legal Theory & Latin Terms
lease,Property & Real Estate Law
lease option,Property & Real Estate Law
leasehold,Property & Real Estate Law
least restrictive environment,Legal Theory & Latin Terms
leave year,Legal Theory & Latin Terms
ledger,Legal Theory & Latin Terms
Lee v. Weisman (1992),Legal Theory & Latin Terms
legacy,Legal Theory & Latin Terms
legal,Family Law & Estates/Trusts
legal succession,Legal Theory & Latin Terms
legal action,Legal Theory & Latin Terms
legal advertising,Legal Theory & Latin Terms
legal age,Legal Theory & Latin Terms
legal aid,Legal Theory & Latin Terms
legal cause,Legal Theory & Latin Terms
legal custody,Family Law & Estates/Trusts
legal duty,Legal Theory & Latin Terms
legal education,Legal Theory & Latin Terms
legal ethics,Legal Theory & Latin Terms
legal fiction,Legal Theory & Latin Terms
legal formalism,Legal Theory & Latin Terms
legal informatics,Legal Theory & Latin Terms
legal lien,Contract Law
legal malpractice,Immigration & Naturalization Law
legal owner,Legal Theory & Latin Terms
legal papers,Legal Theory & Latin Terms
legal person,Legal Theory & Latin Terms
legal realism,Legal Theory & Latin Terms
legal research,Legal Theory & Latin Terms
legal risk placement,Legal Theory & Latin Terms
legal separation,Family Law & Estates/Trusts
legal services,Immigration & Naturalization Law
Legal Services Corporation,Securities & Corporate Law
legal systems,Legal Theory & Latin Terms
legal tender,Legal Theory & Latin Terms
legal writing,Legal Theory & Latin Terms
legalese,Legal Theory & Latin Terms
legality,Legal Theory & Latin Terms
legally inconsistent verdict,Civil Procedure & Litigation
legatee,Legal Theory & Latin Terms
legislation,Legal Theory & Latin Terms
legislative history,Legal Theory & Latin Terms
legislative immunity,Legal Theory & Latin Terms
legislative intent,Legal Theory & Latin Terms
legislative power,Legal Theory & Latin Terms
legislative supremacy,Legal Theory & Latin Terms
legislative veto,Legal Theory & Latin Terms
legislature,Legal Theory & Latin Terms
legitimate,Legal Theory & Latin Terms
lemon,Legal Theory & Latin Terms
lemon law,Legal Theory & Latin Terms
lender,Legal Theory & Latin Terms
lessee,Legal Theory & Latin Terms
lesser crime,Criminal Law & Procedure
lesser included offense,Legal Theory & Latin Terms
lessor,Legal Theory & Latin Terms
let,Property & Real Estate Law
letter of credit,Legal Theory & Latin Terms
letter of marque,Legal Theory & Latin Terms
letter of request,Legal Theory & Latin Terms
letters,Legal Theory & Latin Terms
letters of administration,Legal Theory & Latin Terms
letters rogatory,Legal Theory & Latin Terms
letters testamentary,Family Law & Estates/Trusts
leverage,Legal Theory & Latin Terms
levy,Legal Theory & Latin Terms
lewd,Legal Theory & Latin Terms
lewd and lascivious,Legal Theory & Latin Terms
lex fori,Legal Theory & Latin Terms
lex loci,Legal Theory & Latin Terms
lex mitior,Legal Theory & Latin Terms
LGBTQIA+,Legal Theory & Latin Terms
liability,Contract Law
liability insurance coverage,Contract Law
liable,Legal Theory & Latin Terms
libel,Torts
libel per se,Torts
liberal construction,Legal Theory & Latin Terms
Liberman v. Riverside Memorial Chapel,Legal Theory & Latin Terms
liberty,Constitutional Law
liberty interest,Constitutional Law
license,Intellectual Property (IP)
licensee,Intellectual Property (IP)
licensor,Immigration & Naturalization Law
licit,Torts
lie detector test,Legal Theory & Latin Terms
Liebeck v. McDonald’s Restaurants (1994),Legal Theory & Latin Terms
lien,Property & Real Estate Law
lien creditor,Contract Law
lienor,Contract Law
LIFE Act,Legal Theory & Latin Terms
life beneficiary,Family Law & Estates/Trusts
life estate,Property & Real Estate Law
life estate pur autre vie,Property & Real Estate Law
life expectancy,Legal Theory & Latin Terms
life insurance,Legal Theory & Latin Terms
life insurance avails,Legal Theory & Latin Terms
life insurance trust,Family Law & Estates/Trusts
life tenant,Property & Real Estate Law
life without possibility of parole,Criminal Law & Procedure
life-prolonging procedure,Civil Procedure & Litigation
life-sustaining procedures,Civil Procedure & Litigation
life-sustaining treatment,Legal Theory & Latin Terms
LIFO,Legal Theory & Latin Terms
LIFO accounting,Legal Theory & Latin Terms
like-kind property,Property & Real Estate Law
likelihood of confusion,Legal Theory & Latin Terms
likelihood of survival test,Legal Theory & Latin Terms
Lilly Ledbetter,Legal Theory & Latin Terms
Lilly Ledbetter Fair Pay Act of 2009,Legal Theory & Latin Terms
limitation of actions,Legal Theory & Latin Terms
limited equity housing,Legal Theory & Latin Terms
limited jurisdiction,Civil Procedure & Litigation
limited liability,Contract Law
limited liability company (LLC),Contract Law
limited liability partnership (LLP),Contract Law
limited partnership,Intellectual Property (IP)
limited personal liability,Contract Law
limited power of attorney,Legal Theory & Latin Terms
limited scope representation,Legal Theory & Latin Terms
limiting instructions,Legal Theory & Latin Terms
line-item veto,Legal Theory & Latin Terms
lineal consanguinity,Legal Theory & Latin Terms
lineal descendant,Legal Theory & Latin Terms
lineup,Legal Theory & Latin Terms
link,Legal Theory & Latin Terms
linking to legal resources,Legal Theory & Latin Terms
liquefied natural gas rates,Legal Theory & Latin Terms
liquid asset,Legal Theory & Latin Terms
liquidate,Legal Theory & Latin Terms
liquidated damages,Contract Law
liquidating partner,Legal Theory & Latin Terms
liquidation,Bankruptcy Law
lis pendens,Legal Theory & Latin Terms
listed,Legal Theory & Latin Terms
listed property,Property & Real Estate Law
literary works,Legal Theory & Latin Terms
litigant,Legal Theory & Latin Terms
litigation,Civil Procedure & Litigation
litigator,Legal Theory & Latin Terms
litigious,Legal Theory & Latin Terms
lives in being,Legal Theory & Latin Terms
living trust,Family Law & Estates/Trusts
living will,Family Law & Estates/Trusts
LLC,Legal Theory & Latin Terms
LLP,Legal Theory & Latin Terms
loan,Legal Theory & Latin Terms
loan broker,Legal Theory & Latin Terms
loan consolidation,Legal Theory & Latin Terms
lobbying,Legal Theory & Latin Terms
local government law,Legal Theory & Latin Terms
local rules,Administrative Law
Lochner era,Legal Theory & Latin Terms
locus,Legal Theory & Latin Terms
logical fallacy,Legal Theory & Latin Terms
loiter,Legal Theory & Latin Terms
loitering,Legal Theory & Latin Terms
long cause,Legal Theory & Latin Terms
long-arm statute,Legal Theory & Latin Terms
loss,Legal Theory & Latin Terms
loss carryover,Legal Theory & Latin Terms
loss damage waiver (LDW),Legal Theory & Latin Terms
loss leader,Legal Theory & Latin Terms
loss of bargain rule,Administrative Law
loss of consortium,Legal Theory & Latin Terms
loss of use,Legal Theory & Latin Terms
lost property,Property & Real Estate Law
Loving v. Virginia,Legal Theory & Latin Terms
low-profit limited liability company (L3C),Contract Law
lower court,Civil Procedure & Litigation
LRE,Legal Theory & Latin Terms
LULAC,Legal Theory & Latin Terms
M'naghten rule,Administrative Law
M.O.,Legal Theory & Latin Terms
MACRS,Legal Theory & Latin Terms
magistrate,Legal Theory & Latin Terms
Magna Carta,Legal Theory & Latin Terms
Mahanoy Area School District v. B.L.,Legal Theory & Latin Terms
mail fraud,Criminal Law & Procedure
mail or telephone order rule,Administrative Law
mailbox rule,Administrative Law
maim,Legal Theory & Latin Terms
mainstreaming,Legal Theory & Latin Terms
maintenance and cure,Legal Theory & Latin Terms
maintenance of membership,Intellectual Property (IP)
major life activity,Legal Theory & Latin Terms
major questions doctrine,Legal Theory & Latin Terms
majority,Legal Theory & Latin Terms
make,Legal Theory & Latin Terms
make one whole,Legal Theory & Latin Terms
maker,Legal Theory & Latin Terms
mala fides,Legal Theory & Latin Terms
malfeasance,Legal Theory & Latin Terms
malice,Immigration & Naturalization Law
malice aforethought,Immigration & Naturalization Law
malicious prosecution,Criminal Law & Procedure
malpractice,Healthcare Law
malum in se,Legal Theory & Latin Terms
malum prohibitum,Legal Theory & Latin Terms
management discussion and analysis (MD&A),Legal Theory & Latin Terms
managerial employee,Employment & Labor Law
mandamus,Legal Theory & Latin Terms
mandate,Legal Theory & Latin Terms
mandatory,Legal Theory & Latin Terms
mandatory authority,Intellectual Property (IP)
mandatory injunction,Civil Procedure & Litigation
mandatory joinder,Legal Theory & Latin Terms
mandatory minimum,Legal Theory & Latin Terms
mandatory power of appointment,Legal Theory & Latin Terms
manifest,Legal Theory & Latin Terms
Mann Act,Legal Theory & Latin Terms
manner of death,Legal Theory & Latin Terms
manslaughter,Criminal Law & Procedure
manual accounting system,Legal Theory & Latin Terms
manufacturing defect,Legal Theory & Latin Terms
Mapp v. Ohio (1961),Legal Theory & Latin Terms
Marbury v. Madison (1803),Legal Theory & Latin Terms
margin,Tax & Financial Regulation
marginal tax rate,Tax & Financial Regulation
Marihuana Regulation & Taxation Act (MRTA),Tax & Financial Regulation
marijuana,Legal Theory & Latin Terms
marital deduction,Tax & Financial Regulation
marital deduction trust,Family Law & Estates/Trusts
marital misconduct,Legal Theory & Latin Terms
marital privilege,Evidence Law
marital property,Property & Real Estate Law
marital settlement agreement,Contract Law
marital termination agreement,Contract Law
marital tort,Torts
maritime court,Civil Procedure & Litigation
maritime law,Legal Theory & Latin Terms
maritime lien,Contract Law
mark,Intellectual Property (IP)
marked for identification,Legal Theory & Latin Terms
market definition,Legal Theory & Latin Terms
market participant exception,Intellectual Property (IP)
market share liability,Contract Law
market value,Tax & Financial Regulation
marketable title,Property & Real Estate Law
marriage,Family Law & Estates/Trusts
marriage certificate,Family Law & Estates/Trusts
marriage license,Intellectual Property (IP)
marshal,Legal Theory & Latin Terms
martial law,Legal Theory & Latin Terms
Martin v. Hunter's Lessee (1816),Legal Theory & Latin Terms
mass layoff,Legal Theory & Latin Terms
mass tort,Torts
Massachusetts trust,Family Law & Estates/Trusts
master,Legal Theory & Latin Terms
master and servant,Legal Theory & Latin Terms
master trust,Family Law & Estates/Trusts
material,Legal Theory & Latin Terms
material witness,Criminal Law & Procedure
materiality,Legal Theory & Latin Terms
materialman's lien,Contract Law
matter of law,Civil Procedure & Litigation
matter of record,Legal Theory & Latin Terms
Matthew Shepard Act,Environmental Law
"Matthew Shepard and James Byrd, Jr. Hate Crimes Prevention Act",Criminal Law & Procedure
maturity,Legal Theory & Latin Terms
may,Legal Theory & Latin Terms
may issue,Legal Theory & Latin Terms
mayhem,Legal Theory & Latin Terms
McConnell v. Federal Election Commission (2003),Legal Theory & Latin Terms
McCulloch v. Maryland (1819),Property & Real Estate Law
McNabb-Mallory Rule,Administrative Law
McNaghten Rule,Administrative Law
MDL,Legal Theory & Latin Terms
means test,Legal Theory & Latin Terms
means-end scrutiny,Legal Theory & Latin Terms
mechanic's lien,Contract Law
media,Legal Theory & Latin Terms
median family income,Tax & Financial Regulation
mediation,Legal Theory & Latin Terms
mediator,Legal Theory & Latin Terms
Medicaid,Legal Theory & Latin Terms
medical certification,Healthcare Law
medical marijuana,Healthcare Law
Medicare,Legal Theory & Latin Terms
Medicare tax,Tax & Financial Regulation
Medicinal and Adult-Use Cannabis Regulation and Safety Act (MAUCRSA),Tax & Financial Regulation
meet and confer,Legal Theory & Latin Terms
meeting of creditors,Bankruptcy Law
meeting of the minds,Legal Theory & Latin Terms
Megan's Law,Legal Theory & Latin Terms
member,Legal Theory & Latin Terms
memorandum,Legal Theory & Latin Terms
memorandum decision,Legal Theory & Latin Terms
memorandum of points and authorities,Intellectual Property (IP)
memorandum of trust,Family Law & Estates/Trusts
mens rea,Criminal Law & Procedure
mental anguish,Legal Theory & Latin Terms
mental competence,Legal Theory & Latin Terms
mental cruelty,Legal Theory & Latin Terms
mental health,Healthcare Law
mental suffering,Legal Theory & Latin Terms
mercantile law,Legal Theory & Latin Terms
merchantable,Legal Theory & Latin Terms
mercy killing,Legal Theory & Latin Terms
meretricious,Legal Theory & Latin Terms
merged causes,Legal Theory & Latin Terms
merger,Securities & Corporate Law
merger doctrine,Securities & Corporate Law
mergers & acquisitions,Securities & Corporate Law
mesne,Legal Theory & Latin Terms
mesne profits,Legal Theory & Latin Terms
metadata,Employment & Labor Law
metes and bounds,Legal Theory & Latin Terms
Midwest Piping Doctrine,Intellectual Property (IP)
mileage log,Legal Theory & Latin Terms
military,Legal Theory & Latin Terms
military law,Legal Theory & Latin Terms
millage,Legal Theory & Latin Terms
MIMIC Rule,Administrative Law
mineral rights,Legal Theory & Latin Terms
minimum contacts,Legal Theory & Latin Terms
minimum wage,Employment & Labor Law
mining claim,Legal Theory & Latin Terms
ministerial act,Legal Theory & Latin Terms
minitrial,Civil Procedure & Litigation
minor,Legal Theory & Latin Terms
minority,Legal Theory & Latin Terms
minutes,Legal Theory & Latin Terms
Miranda rule,Criminal Law & Procedure
Miranda v. Arizona (1966),Criminal Law & Procedure
Miranda warning,Criminal Law & Procedure
