legal_term,legal_category,defination,root_word
net loss,Legal Theory & Latin Terms,See net operating loss .,net loss
net operating loss (NOL),Legal Theory & Latin Terms,"A net operating loss (NOL) occurs when a taxpayer’s allowable deductions exceed gross income for a taxable year. The Internal Revenue Code defines a net operating loss as “the excess of the deductions allowed by this chapter over the gross income.” See 26 U.S.C. §172(c) . Section 172 allows taxpayers to apply an NOL to other tax years to offset taxable income through carrybacks or carryovers , subject to statutory limitations. Under §172(a), the NOL deduction generally may not exceed 80% of taxable income in the year to which the loss is applied.",net operating loss (nol)
net probate estate,Family Law & Estates/Trusts,A net probate estate is the entirety of a decedent’s estate that goes through administration by a probate court . It excludes will substitutes .,net probate estate
new matter,Legal Theory & Latin Terms,"(1) New facts or arguments raised in a pleading that go beyond just denying the allegations and present new issues. Federal Rule of Civil Procedure , Rule 15 governs when parties may amend , thereby incorporating the new matter into their pleadings. As a general matter under Rule 15, as the proceedings approach trial, it is more difficult for a party to amend their pleadings.",new matter
New York State Rifle & Pistol Association (NYSRPA) v. Bruen (2022),Legal Theory & Latin Terms,,new york state rifle & pistol association (nysrpa) v. bruen (2022)
New York Stock Exchange (NYSE),Tax & Financial Regulation,The New York Stock Exchange (NYSE) is a New York City-based public marketplace for trading stock . It is the largest stock exchange in the world based on market capitalization .,new york stock exchange (nyse)
New York Times v. Sullivan (1964),Legal Theory & Latin Terms,,new york time v. sullivan (1964)
newly discovered evidence,Evidence Law,"Newly discovered evidence, or after-discovered evidence , is evidence which existed at the time of the original trial but was only discovered after the conclusion of the trial. Newly discovered evidence is an issue predominantly in criminal proceedings and may be used as the basis for a motion for a new trial .",newly discovered evidence
next friend,Legal Theory & Latin Terms,"The next friend is an individual who appears in court in place of another who is not competent to do so, usually because they are a minor or are deemed incompetent . Often, the role is filled by a parent or other relative; it can be any legally-competent person whose interests do not run counter to those of the person on whose behalf they are acting . The ""next friend"" is not a party to the proceeding , nor are they a formally-appointed guardian . Instead, they are considered an agent of the court whose role is to protect the rights of the incompetent person.",next friend
next of kin,Legal Theory & Latin Terms,"A person’s next of kin is their closest living relative , including spouses and adopted family members. The designation as next of kin is important in the context of intestate succession , as a decedent ’s next of kin is prioritized in receiving inheritance from the decedent’s estate . A person’s next of kin must also be determined to notify family members of the person’s death, as is outlined in statutes such as OR Rev Stat § 146.109 in the state of Oregon.",next of kin
NIED,Legal Theory & Latin Terms,NIED is an abbreviation for negligent infliction of emotional distress .,nied
nihil,Legal Theory & Latin Terms,"Latin for “nothing,” nihil is a clipping of the Latin word nihilum . The contraction form of nihil , nil , also often appears in legal contexts.",nihil
nihil dicit,Legal Theory & Latin Terms,"""Nihil dicit"" is a Latin term used in the legal context that translates to ""he says nothing"" or ""he utters nothing."" In legal proceedings , it refers to a situation where the defendant or the party being summoned fails to respond or submit a defense within the required timeframe.",nihil dicit
nihil est,Legal Theory & Latin Terms,""" Nihil est"" is a Latin term used in the legal field, which translates to ""nothing exists"" or ""it is nothing."" In the context of law, the term ""nihil est"" is commonly associated with a writ of execution .",nihil est
nil,Legal Theory & Latin Terms,"Latin for “nothing” or “zero,” nil is a contraction of the Latin word nihil , which itself is a clipping of the word nihilum .",nil
nil dicit default judgment,Civil Procedure & Litigation,"A nil dicit default judgment is a judgment for the plaintiff after defendant fails to file a timely answer or response to a properly-served complaint . The term "" nihil dicit "" means ""he says nothing"" in Latin, indicating the defendant's lack of response. This can happen in civil cases , such as breach of contract or personal injury lawsuits . The defendant's failure to respond is seen as an admission of guilt, and the plaintiff is awarded damages or other relief as a result.",nil dicit default judgment
nisi prius,Legal Theory & Latin Terms,"Nisi prius (also called court of original jurisdiction ) is a Latin phrase translated to “unless before” in English, and the term refers to disputes from a trial court or lower court in American law. Nisi prius cases are to be contrasted with those in a court of appellate jurisdiction that reviews decisions from the lower court. The modern American use of nisi prius stemmed from the term referring to local trials in England. Before the Magna Carta , all disputes in England must be tried where the dispute arose, and they often were required to be heard in London. After the Magna Carta, justices were sent throughout the country to hear matters locally which was given the term nisi prius.",nisi prius
no bill,Legal Theory & Latin Terms,"In criminal law , a “ no bill ” is said to occur when a grand jury decides that the evidence against a defendant is not sufficient to justify a trial .",no bill
No Child Left Behind Act of 2001,Family Law & Estates/Trusts,"No Child Left Behind Act (NCLB) was a major piece of education reform initiated by President George W. Bush in 2001. The bill , which became the primary federal law regulating K-12 education, revamped the Elementary and Secondary Education Act of 1965 (ESEA) . The bill passed both houses of Congress with broad bipartisan support and was officially signed into law by President Bush on January 8, 2002.",no child left behind act of 2001
no contest,Legal Theory & Latin Terms,"No contest or nolo contendere is a plea by a criminal defendant that they will not contest a charge . Nolo contendere is a Latin phrase meaning “I will not contest.” A no contest plea does not expressly admit guilt , but nonetheless waives the right to a trial and authorizes the court to treat the criminal defendant as if they were guilty for purposes of sentencing . However, a no contest plea does not act as an admission of guilt for any purpose beyond the case in which it is plead. A plea of no contest cannot be used against the defendant in a civil suit arising from the same cause of action . As a result, when there is an impending threat of a civil suit, a defendant has a strong incentive to plead no contest because a no contest plea does not establish the facts of the prior case and does not act as an admission of fault. Even so, a defendant who testifies in a subsequent proceeding may be impeached by their earlier conviction , even if was a result of a no contest plea.",no contest
no fault,Legal Theory & Latin Terms,"No fault refers to a legal framework or claim resolution process that does not require determining which party , if any, was legally responsible for causing the loss or injury. In a no-fault system, liability is not based on blame, and parties may recover certain benefits or relief without proving fault. By contrast, a fault-based system requires proof that one party’s conduct caused the harm in order to prevail on the claim.",no fault
No Further Inquiry Rule,Administrative Law,The No Further Inquiry Rule applies to cases of self-dealing by a trustee . It makes all self-dealing transactions entered into by the trustee per se voidable by the beneficiaries . An attempt to void such transactions requires no proof that the transactions were unreasonable or harmful because a trustee must act for the sole benefit of the beneficiaries .,no further inquiry rule
No License Required (NLR),Intellectual Property (IP),"No License Required (NLR) is the designation given to commodities and related technology that do not require a license to be exported out of the United States. Most exports from the United States do not require a license and, therefore, are exported under the designation NLR. NLR designated exports include those items not listed on the Commerce Control List (CCL) or those items that are listed on the CCL, but are being exported to countries for which the federal government does not require a license.",no license required (nlr)
no signal,Legal Theory & Latin Terms,"“No signal” refers to the practice of citing a source and not preceding it with a signal . This is done by making a statement and citing a source (e.g., a judicial opinion , book, or website) without first including a word or phrase to indicate the relevance of that source.",no signal
no-answer default judgment,Civil Procedure & Litigation,A no-answer default judgment is a legal ruling (in favor of the plaintiff ) issued by a court when the defendant either fails to appear in court or does not file a timely answer to the plaintiff’s complaint .,no-answer default judgment
no-contest clause,Legal Theory & Latin Terms,"No-contest clauses (also known as in terrorem clauses , contest clauses, anti-contest clauses , and forfeiture clauses) are clauses in a will that impose a condition upon a devisee or legatee that they will not dispute the provisions of a will. If a beneficiary violates such a clause, their interest or inheritance may be revoked. These clauses prevent challenges to a will and keep the will out of a long probate .",no-contest clause
no-fault divorce,Family Law & Estates/Trusts,"No-fault divorce is the most common modern type of marriage dissolution . Traditional fault divorce required a person filing for divorce to prove some wrongdoing by their spouse that breached the marriage contract – cruelty , adultery , and desertion are common examples of grounds for a fault divorce. In contrast, no-fault divorces do not require any showing of wrongdoing. Rather, the filing spouse simply claims as grounds for the divorce that the couple cannot get along and the marriage has factually broken down. Depending on the state, the terminology used may be incompatibility, irreconcilable differences between the spouses, or irreparable breakdown of the marriage. All states now recognize no-fault divorce, and many have adopted pure no-fault divorce in which fault divorces are no longer recognized.",no-fault divorce
no-fault insurance,Legal Theory & Latin Terms,"No-fault insurance primarily refers to no-fault auto insurance which requires the insurance company to indemnify its policyholder for certain losses resulting from an automobile accident regardless of who caused the accident. The three players in the no-fault system are the first party which is the policyholder, the second party which is the policyholder’s insurance company, and the third party which is the other party or parties involved in the accident.",no-fault insurance
no-knock warrant,Securities & Corporate Law,A no-knock warrant is a search warrant authorizing police officers to enter certain premises without first knocking and announcing their presence or purpose prior to entering the premises. Such warrants are issued where an entry pursuant to the knock-and-announce rule (ie. an announcement prior to entry) would lead to the destruction of the objects for which the police are searching or would compromise the safety of the police or another individual. The requirement that announcing police presence would result in destruction of objects or compromise safety is judged by a reasonable suspicion standard.,no-knock warrant
no-par stock,Tax & Financial Regulation,"No-par stocks are those where the value of the stocks relies completely on the market, not at all based upon any guaranteed value (the par value ) set at the issuance of the stocks. The corporate charter contains specific provisions for par value stocks, noting each stock has a specific value that is the minimum which investors must pay for the stock. For accounting purposes, this value gets credited to the common stock account with any extra earned in selling the stocks being credited to a capital account. If the value of the stocks ever drop below the par value, the corporation becomes liable to the shareholders for the price drop. No-par stocks completely avoid this whole process by having no minimum price or par value at all for the stocks. So, investors completely rely on the market for the value of the shares, and some of the value received for the no-par stocks may be allocated to the capital surplus account which may be used for other purposes like issuing derivatives .",no-par stock
noise ordinance,Legal Theory & Latin Terms,"A noise ordinance is a municipal law that regulates the nature and level of sound that can be emitted in a given place at a given time. For example, people hosting a social event or a business doing construction work outside of certain times may be penalized for sound that violates a noise ordinance . Penalties for noise ordinances can include fines and injunctions to stop the violating activity.",noise ordinance
nol. pros.,Legal Theory & Latin Terms,,nol. pros.
nolle prosequi,Legal Theory & Latin Terms,"Nolle prosequi (abbreviated nol. pros. ) is a Latin phrase, which directly translates to “not to wish to prosecute.” Nolle prosequi is a legal notice or entry of record that the prosecutor or plaintiff has decided to abandon the prosecution or lawsuit .",nolle prosequi
nolo,Legal Theory & Latin Terms,[Last reviewed in July of 2020 by the Wex Definitions Team ],nolo
nolo contendere,Legal Theory & Latin Terms,"Nolo contendere means "" no contest ."" This phrase translates from the Latin as ""I do not wish to contend.""",nolo contendere
nominal damages,Contract Law,"Nominal damages are a small monetary award granted to a plaintiff whose legal right has been violated but who has not suffered any actual, measurable harm. They serve to formally recognize that a legal wrong occurred, even though no compensable injury resulted.",nominal damage
nominal party,Legal Theory & Latin Terms,A nominal party is a plaintiff or defendant named in a lawsuit who has no genuine interest in the outcome and no control over the subject matter of the litigation . Such a party is included solely because procedural or statutory rules require their participation.,nominal party
nominee,Legal Theory & Latin Terms,[Last reviewed in August of 2020 by the Wex Definitions Team ],nominee
non compos mentis,Legal Theory & Latin Terms,"The Latin non compos mentis translates as “ not of sound mind .”  In the 1928 Hellman Commercial Trust & Savings Bank v. Alden opinion, the Supreme Court of California stated that the term’s legal usage encompassed “all degrees of mental incompetency known to the law” and compared it to the Standard Dictionary definition of an “unsound mind.”  In specifying the term’s legal scope, the Court of Civil Appeals of Alabama, in the 1985 Goza v. Goza holding, noted that “[m]ere emotional instability or depression” does not qualify as non compos mentis , and that while the term “does not necessarily denote a total destruction of the intellect, … there must be at least such a severe impairment of the mental faculties as to make the movant incapable of protecting himself or of managing his affairs.”  The United States Court of Appeals of the District of Columbia Circuit provided a similar definition in the 1998 Smith-Haynie v. District of Columbia opinion to clarify the term’s meaning, as found in Section 12-302 of the Code of the District of Columbia. The court wrote that the disability of a person claiming to be non compos mentis must be “of such a nature as to show [she] is unable to manage [her] business affairs or estate, or to comprehend [her] legal rights or liabilities.”",non compos mentis
non sequitur,Legal Theory & Latin Terms,Non sequitur is Latin for “it does not follow.” The phrase is used to describe a fallacy or illogical conclusion ; an inference or conclusion that does not follow from the premise. Non sequitur may also be used to describe a response or comment that bears no connection to what was previously said; a random remark.,non sequitur
non-accelerated filer,Legal Theory & Latin Terms,"Non-accelerated filer is a class of reporting company that is not a large accelerated filer , an accelerated filer , or a smaller reporting company . Initial public offering (IPO) issuers will be non-accelerated regardless of whether they satisfy the requirements to qualify as a large accelerated filer, accelerated filer, or a smaller reporting company. Non-accelerated filers have 90 days to file their Form 10-K and 45 days to file their Form 10-Q .",non-accelerated filer
non-disclosure agreement (NDA),Contract Law,"Non-disclosure agreements (NDAs) are agreements in contract law where parties agree that certain information will remain confidential. As such, an NDA binds a person who has signed it and prevents them from discussing any information included in the contract with anyone not authorized by the NDA. NDAs are commonly used to protect trade secrets , business negotiations, client information, and sometimes hide undesirable information. Sharing information in spite of an NDA qualifies as a breach of contract and can open the breaching party up to a lawsuit . An NDA can continue indefinitely or can include a duration clause that stipulates an end date of the agreement.",non-disclosure agreement (nda)
non-fungible token (NFT),Legal Theory & Latin Terms,Non-fungible tokens (NFTs) are unique units of data stored on blockchains that represent physical assets.,non-fungible token (nft)
non-judicial foreclosure,Legal Theory & Latin Terms,"A non-judicial foreclosure is when lenders foreclose property without getting a court order first. In a jurisdiction that passes a statute authorizing non-judicial foreclosure, private parties must contract for a power-of-sale clause in a mortgage or deed of trust to allow non-judicial foreclosure.",non-judicial foreclosure
non-probate assets,Family Law & Estates/Trusts,"Non-probate assets are assets in which the title has already been transferred within a decedent ’s lifetime, or assets in which the transfer of title is controlled by some sort of survivorship mechanism. The property may pass to another party by way of contract or some other arrangement.",non-probate asset
non-profit organizations,Legal Theory & Latin Terms,"A non-profit organization is a group organized for purposes other than generating profit and in which no part of the organization's income is distributed to its members , directors , or officers . Non-profit corporations are often termed ""non-stock corporations."" They can take the form of a corporation , an individual enterprise (for example, individual charitable contributions ), unincorporated association, partnership , foundation (distinguished by its endowment by a founder, it takes the form of a trusteeship ), or condominium ( joint ownership of common areas by owners of adjacent individual units incorporated under state condominium acts ). Non-profit organizations must be designated as nonprofit when created and may only pursue purposes permitted by statutes for non-profit organizations. Non-profit organizations include churches, public schools, public charities, public clinics and hospitals, amateur sports organizations, political organizations, legal aid societies, volunteer services, organizations, labor unions , professional associations, research institutes, museums, and some governmental agencies .",non-profit organization
non-prosecution agreement (NPA),Criminal Law & Procedure,,non-prosecution agreement (npa)
non-reporting issuer,Legal Theory & Latin Terms,"Non-reporting issuer is an issuer that is not required to file periodic reports . Non-reporting issuers are U.S. private companies , non-U.S. private companies, or non-U.S. companies that are public in their home countries but are not reporting companies in the U.S.",non-reporting issuer
non-testifying expert witnesses,Criminal Law & Procedure,"A non-testifying expert witness is an individual possessing specialized knowledge, skills, and experience relevant to a particular case “who has been retained or specially employed by another party in anticipation of litigation or to prepare for trial and who is not expected to be called as a witness at trial."" Federal Rule of Civil Procedure 26(b)(4)(D) .",non-testifying expert witness
noncompete,Legal Theory & Latin Terms,"A noncompete, also called a noncompetition agreement or a covenant not to compete , is an agreement where one party promises not to engage in conduct that would increase competition for the other party for a specific period of time. This conduct can include divulging trade secrets or privileged information obtained while working under that employer or entering employment with the employer’s direct business competitor. A covenant not to compete is often found in an employment contract or a sale of business contract .",noncompete
noncompetition agreement,Contract Law,"A noncompetition agreement, also called a noncompete or a covenant not to compete , is an agreement where one party promises not to engage in conduct that would increase competition for the other party for a specific period of time. This conduct can include divulging trade secrets or privileged information obtained while working under that employer or entering employment with the employer’s direct business competitor. A covenant not to compete is often found in an employment contract or a sale of business contract .",noncompetition agreement
nonconforming use,Legal Theory & Latin Terms,"Nonconforming use refers to when local governments change zoning laws and allow existing property some form of exemption from abiding by the new regulations. Zoning is an important tool used by city leaders, but often, new zoning regulations would not receive support and would devastate particular individuals if they apply to pre-existing property. Without nonconforming use, a business may have to level their entire business just because an area becomes rezoned as residential only. To avoid this predicament, city governments weave nonconforming use clauses into zoning laws that grant some exemptions for property developed before the regulations.",nonconforming use
noncontest clause,Legal Theory & Latin Terms,"Noncontest clauses (also known as in terrorem clauses , contest clauses, no-contest clauses , anti-contest clauses , and forfeiture clauses) are clauses in a will that impose a condition upon a devisee or legatee that they will not dispute the provisions of a will. If a beneficiary violates such a clause, their interest or inheritance may be revoked. These clauses prevent challenges to a will and keep the will out of a long probate .",noncontest clause
noncontestability clause,Legal Theory & Latin Terms,"Noncontestability clauses (also known as in terrorem clauses , contest clauses, no-contest clauses , anti-contest clauses , and forfeiture clauses) are clauses in a will that impose a condition upon a devisee or legatee that they will not dispute the provisions of a will. Such clauses are used to discourage challenges to a will and keeping the will out of a long probate by revoking a beneficiary's interest or inheritance if the beneficiary violates the clause. These clauses are generally enforceable in most states but are often disfavored and subject to strict construction , such that they do not grant or hold absolute authority over the distribution of the testator's interests. The extent of enforceability and limitations differ greatly between states.",noncontestability clause
noncontiguous,Legal Theory & Latin Terms,"Noncontiguous describes something–usually land–that is not connected and does not share a border. For example, the contiguous United States comprises 48 states and excludes Alaska and Hawaii. Alaska and Hawaii are thus considered noncontiguous states. Whether or not parcels of land are contiguous is important for homestead exemptions in the event of bankruptcy . Generally, a parcel of land that is noncontiguous from one that a person actually resides on does not meet a sufficient level of use to qualify as a homestead. For an example, see the case of in In re Schott , 449 B.R. 697 (2011) , in which two tracts of land separated by a road were considered noncontiguous, and only the tract that the debtor resided on qualified for a homestead exemption.",noncontiguous
noncountable resource,Legal Theory & Latin Terms,"Medicaid rules permit some resources to be excluded that would otherwise be counted for purposes of determining Medicaid eligibility . A resource is money as well as something that you own and can turn into cash and is defined in 42 USC §§ § 1382b and 1396p(g) . Examples of resources are property , stocks , bonds , and bank accounts.  The value of your resources is one of the factors that determines whether you are eligible for SSI benefits.  However, not all resources count for SSI and those are considered non-countable resources.  Some examples of non-countable resources are:",noncountable resource
noncustodial parent,Legal Theory & Latin Terms,"A noncustodial parent is a parent who does not have primary physical custody of a child, meaning the child does not reside with that parent for the majority of the time. This status typically arises following separation or divorce , where one parent is awarded primary physical custody.",noncustodial parent
nondelegation doctrine,Contract Law,"The non-delegation doctrine is a constitutional principle that Congress cannot delegate its legislative powers to another branch of government or to private entities. The doctrine primarily arises in administrative law and constitutional law , addressing the limits of Congress’s ability to authorize agencies to make rules with the force of law.",nondelegation doctrine
nondischargeable debts,Bankruptcy Law,"Nondischargeable Debts are debts that cannot be extinguished in bankruptcy . As a threshold matter, regardless of the type of bankruptcy, 11 U.S.C. § 523 categorizes certain debts as nondischargeable. For example, 11 U.S.C. § 523(a)(1) categorizes certain tax or customs duties as nondischargeable; 11 U.S.C. § 523(a)(2) categorizes fraudulently obtained credit as nondischargeable; and 11 U.S.C. § 523 (a)(5) categorizes domestic support obligations (e.g. alimony ) as nondischargeable. Under a Chapter 7 bankruptcy , 11 U.S.C. § 727 provides for certain circumstances when a court may refuse to discharge a debt. For example, if the debtor refused a court order or failed to satisfactorily explain any loss of assets, the court may refuse to discharge those debts. Under a Chapter 13 bankruptcy , 11 U.S.C. § 1328 provides for certain circumstances when a court cannot refuse to discharge debt. For example, under 11.U.S.C. § 1328(a)(1) and 11 U.S.C. § 1322 , debts with last payments that extent beyond the end date of the debtor’s repayment plan are nondischargeable. Additionally, 11 U.S.C. § 1328(a)(4) classifies debt “for restitution, or a criminal fine, included in a sentence on the debtor’s conviction of a crime” as nondischargeable.",nondischargeable debt
nondiscretionary trust,Family Law & Estates/Trusts,"A nondiscretionary trust ( also known as a fixed trust ) is a trust where the trustee has no discretion in the management of the assets. The trustor specifies how the assets are to be distributed exactly. Trustees must manage the assets for financial success, but they do not have the ability to change what the beneficiaries receive.",nondiscretionary trust
nondisparagement clause,Legal Theory & Latin Terms,"A non-disparagement clause is a provision in an agreement that prohibits the involved parties from making any negative statements, remarks, or representations about each other. These types of clauses typically are found in agreements like employment contracts , separation agreements, or marital settlement agreements .",nondisparagement clause
nonelected invention,Intellectual Property (IP),"A nonelected invention is the invention that is not selected by the filer of a patent application when several inventions are impermissibly claimed, as only one may be selected for final evaluation. See: 37 CFR § 1.141",nonelected invention
nonexempt employee,Employment & Labor Law,"A non-exempt employee is a worker who is covered by the overtime and minimum wage protections of the Fair Labor Standards Act (FLSA) . Nonexempt employees must be paid at least the federal or applicable state minimum wage for all hours worked, and they must receive overtime pay at one and one-half times their regular rate for all hours worked over 40 hours in a workweek.",nonexempt employee
nonexempt property,Property & Real Estate Law,"The concept of “nonexempt property” appears in the context of Chapter 7 bankruptcy proceedings and refers to property of the debtor’s estate that does not qualify for a statutory exemption .  A debtor’s property is classified as nonexempt property “ unless and until the debtor claims an exemption in some property, and then the property is only exempt to the extent of the value claimed or allowed; the exemptions do not operate automatically .”  Nonexempt property may be taken by the trustee and liquidated for the benefit of the creditors. Such property may also be seized by the creditors in the event of a judgment against the debtor.",nonexempt property
nonfeasance,Legal Theory & Latin Terms,"Nonfeasance is the failure to act when a legal duty requires such action. Nonfeasance can more loosely be defined as not doing something that you ought to do. By contrast, misfeasance and malfeasance refer to acts which are performed improperly or are otherwise wrongful. The term “nonfeasance” commonly appears in tort law but may also refer more generally to inaction in contract law.",nonfeasance
nonfederal grounds,Legal Theory & Latin Terms,"Nonfederal grounds refers to a case, area, situation, or even a piece of property that is outside of federal jurisdiction or where a federal law or entity is not the primary authority .",nonfederal ground
nonfreehold estate,Family Law & Estates/Trusts,"A nonfreehold estate is an estate which gives the right to possess the property but not title to hold the property. Nonfreehold estates are often called leaseholds or tenancies , as they are often occupied by tenants under leasing contracts . Nonfreehold estates are often described as lacking seisin , because of the reduced rights of ownership associated with the estate.",nonfreehold estate
nonimmigrant,Immigration & Naturalization Law,"Compared to immigrants , nonimmigrants are aliens who enter the United States without a permanent living purpose, but instead are based on temporary travel, work, or study plans. Getting a nonimmigrant visa is a prerequisite for a nonimmigrant to legally enter and stay in the United States for a limited period. The type of visas and duration of stay of a nonimmigrant depends on their purpose and activities in the United States. If they have multiple purposes, they can select the most suitable visa to apply for. The scopes of permissible activities of nonimmigrants are defined in Immigration and Nationality Act (INA). See 8 United States.C. § 1101(a)(15) . Once aliens enter the United States with nonimmigrant visas, they cannot attend activities breaking the law or unrelated to their principal purpose; otherwise, they may be detained or deported .",nonimmigrant
nonimmigrant visa,Immigration & Naturalization Law,"A visa type is determined by the applicant's purpose. Immigrant visas are issued to aliens who pursue permanent living in the United States, while nonimmigrant visas are required of aliens to temporarily stay in the United States for study, work, tourism, business, medical care and so on. Once issued, the visa is placed in the traveler’s passport. There are different types of nonimmigrant visas, which are determined by the purpose of travel.",nonimmigrant visa
nonjudicial foreclosure,Legal Theory & Latin Terms,"A nonjudicial foreclosure is when lenders foreclose property without getting a court order first. In a jurisdiction that passes a statute authorizing nonjudicial foreclosure, private parties must contract for a power-of-sale clause in a mortgage or deed of trust to allow nonjudicial foreclosure.",nonjudicial foreclosure
nonlapse statute,Legal Theory & Latin Terms,"A phrase interchangeable with lapse statute or more commonly referred to as an antilapse statute ; a statute under estates and trusts law that sets forth the procedure that applies when a devisee predeceases a testator to prevent a bequest from lapsing . In other words, when a beneficiary named in a will dies before the person who is devising that property, the gift intended for that beneficiary passes through succession to the beneficiary’s descendants .",nonlapse statute
nonobvious,Legal Theory & Latin Terms,"Nonobvious describes a quality in patent law meaning that an invention was not readily apparent. In order to obtain a patent, an invention must be nonobvious. If someone of ordinary skill in a relevant field could easily make the invention, then it is considered obvious and would be an invention based on prior art . Possible objective indicia of nonobviousness could include commercial success, initial skepticism regarding the invention, and demonstrated failure of others to solve a long-standing problem.",nonobvious
nonobviousness,Legal Theory & Latin Terms,"Nonobviousness is a quality in patent law describing something that is not readily apparent. In order to obtain a patent, an invention must be nonobvious . If someone of ordinary skill in a relevant field could easily make the invention, then it is considered obvious and would be an invention based on prior art . Possible objective indicia of nonobviousness could include commercial success, initial skepticism regarding the invention, and demonstrated failure of others to solve a long-standing problem.",nonobviousness
nonparty,Legal Theory & Latin Terms,"Nonparty means a person or organization that is not directly involved in the litigation or contracting as a party . The person who enters into a contract , is a party to the contract, and the person who brings and has brought a lawsuit is a party to the lawsuit, i.e., the plaintiff or defendant . In contrast, nonparty is a subject who is not the above-mentioned parties in a legal relationship; however, a nonparty may still participate in legal proceedings , have rights or obligations , and be liable in some way.",nonparty
nonprobate assets,Family Law & Estates/Trusts,"Nonprobate assets are assets in which the title has already been transferred within a decedent ’s lifetime, or assets in which the transfer of title is controlled by some sort of survivorship mechanism. The property may pass to another party by way of contract or some other arrangement.",nonprobate asset
nonprobate estate,Family Law & Estates/Trusts,"Nonprobate estate refers to the assets in an estate in which the title has already been transferred within a decedent ’s lifetime, or assets in which the transfer of title is controlled by some sort of survivorship mechanism. The property may pass to another party by way of contract or some other arrangement.",nonprobate estate
nonprobate transfer,Family Law & Estates/Trusts,A transfer of property at death from a decedent to another without the need for a probate proceeding. Such transfers can be made through a wide variety of instruments. For example:,nonprobate transfer
nonprofit corporation,Securities & Corporate Law,"A nonprofit corporation is a legal entity incorporated under state law for purposes other than generating profits for owners or shareholders .  Instead of distributing profits, any surplus revenue must be used to further the organization’s stated nonprofit purposes. The laws governing the formation and operation of nonprofit corporations vary by state.",nonprofit corporation
nonrecourse,Legal Theory & Latin Terms,"Nonrecourse refers to a type of debt where the creditor may only look to the collateral to satisfy the unpaid loan , and not the debtor’s personal assets (as with a recourse loan). For example, the Seventh Circuit in Racine v. Commissioner defined nonrecourse debt as, “an arrangement in which the lender agrees to look exclusively to the collateral, and never to dun the borrower for a deficiency if a sale of the collateral fetches less than the balance.”",nonrecourse
nonrecurring closing costs,Property & Real Estate Law,"The closing costs are the costs a buyer or a seller needs to pay to close a deal of house purchase. There are two types of closing cost: nonrecurring and recurring. While recurring costs are those costs that are paid annually, such as property taxes or property insurance, nonrecurring closing costs are the costs that need to be paid only once for the closing of a home purchase. These costs include escrow fee, the title insurance , the appraisal fee, the underwriting fee, the notary fee, the recording fee, and the transfer taxes, among other things. Depending on the size of the purchase and the amount of transfer taxes, these fees can have very different amount.",nonrecurring closing cost
nonresident,Legal Theory & Latin Terms,"According to 26 USC § 865(g)(1) “The term ‘nonresident’ means any person other than a United States resident.” A nonresident is any individual who does not primarily reside in one state or one country, but has an interest in it. The status of nonresident is important in many legal fields; including tax, labor, and immigration. Someone who resides in Pennsylvania but works in New York City is a nonresident of New York City and should file two state tax returns.",nonresident
nonsolicitation agreement,Contract Law,A nonsolicitation agreement is a type of restrictive covenant that restricts former employees either from soliciting clients or employees from their former employer.  Nonsolicitation provisions are often found within business contracts or may constitute separate agreements.,nonsolicitation agreement
nonsuit,Legal Theory & Latin Terms,Nonsuit is a judgment given against a plaintiff in which the court dismisses a case because the plaintiff either was unable to make an adequate showing or is unwilling to continue with the case.  A nonsuit may be voluntary or involuntary.,nonsuit
nontransferable ticket,Legal Theory & Latin Terms,A non-transferable ticket is a ticket that cannot be transferred from the purchaser who was issued to ticket to another person.  The majority of airline tickets are non-transferable because most airlines have a strict no-name change policy.,nontransferable ticket
Norris v. Alabama (1935),Legal Theory & Latin Terms,,norris v. alabama (1935)
North Atlantic Treaty Organization (NATO),International Law,,north atlantic treaty organization (nato)
not guilty,Criminal Law & Procedure,"Not guilty refers to either a type of plea or verdict in a criminal case . A defendant can make a not guilty plea which means the defendant denies committing the accused crime or one of the facets of the crime. By pleading not guilty, the defendant will actually go to trial and force the prosecution to prove beyond a reasonable doubt every part of the offense .",not guilty
not guilty by reason of insanity,Criminal Law & Procedure,"“Not guilty by reason of insanity” is a plea entered by a defendant in a criminal trial , where the defendant claims that they were so mentally disturbed or incapacitated at the time of the offense that they did not have the required intention to commit the crime, and are therefore not guilty.",not guilty by reason of insanity
notarize,Legal Theory & Latin Terms,"To notarize is to have a document formally authenticated by a notary public through a notarial act. Notarization is intended to deter fraud by verifying the identity of the signer, confirming that the signer appears voluntarily , and recording the act in the notary ’s official records. After performing the notarial act as described above, the notary public signs and affixes an official seal to the document.",notarize
notary,Legal Theory & Latin Terms,"A notary (also called a notary public ) is a person authorized by law to administer oaths , certify documents and signatures, and perform other official commercial duties. Notaries are frequently employed to witness and verify signatures on a range of legal documents. Many legal documents must be notarized including wills , powers of attorney , and deeds .",notary
notary public,Legal Theory & Latin Terms,"A notary public is a person authorized by law to administer oaths , certify documents and signatures, and perform other official commercial duties. Notaries are frequently employed to witness and verify signatures on a range of legal documents. The term notary public is often shortened to notary .",notary public
note,Legal Theory & Latin Terms,"Short for promissory note , a note is a written unconditional promise to pay the bearer , or another party named therein, a certain sum of money at a time specified. Generally, the promissory note also contains the terms of payment, including the interest rate , grace period , maturity date , or a provision indicating the promissory note is payable on demand . The promissory note may also indicate that it is secured by mortgage and specify the penalties for default .",note
