source,target,language_pair,Legal_Category
"Commission Regulation (EC) No 672/2004 of 13 April 2004 setting, for the 2003/2004 marketing year, the amounts to be paid to olive oil producer organisations and associations thereof recognised under Council Regulation No 136/66/EEC",Verordnung (EG) Nr. 672/2004 der Kommission vom 13. April 2004 zur Festsetzung der den Erzeugerorganisationen von Olivenöl und ihren anerkannten Vereinigungen gemäß der Verordnung Nr. 136/66/EWG des Rates im Wirtschaftsjahr 2003/04 zu zahlenden Beträge,en-de,Administrative Law
Article 10 (2) (d) of the Implementing Regulation shall apply in respect of dealings: - between Germany and France,ARTIKEL 10 ABSATZ 2 BUCHSTABE D) DER DURCHFÜHRUNGSVERORDNUNG GILT IN DEN BEZIEHUNGEN ZWISCHEN : - DEUTSCHLAND UND FRANKREICH,en-de,Constitutional Law
where the commitments are provisional;,wenn es sich um vorläufige Mittelbindungen handelt;,en-de,General Legal
Czechoslovakia,Tschechoslowakei,en-de,General Legal
of 26 April 2004,vom 26. April 2004,en-de,General Legal
POWERS,ZUSTÄNDIGKEIT,en-de,General Legal
FUEL TANK FILLER CAPS AND COVERS,Verschlüsse und Deckel von Kraftstofftank-Einfüllstutzen,en-de,General Legal
"The Community certificate shall be renewed on expiry of its period of validity, in accordance with the conditions and rules for the issue of such certificates.",Das Gemeinschaftszeugnis wird nach Ablauf seiner Gültigkeitsdauer nach den für seine Erteilung vorgesehenen Bedingungen und Einzelheiten erneuert.,en-de,General Legal
The National Committee shall take its decisions unanimously;,Der nationale Ausschuß trifft seine Entscheidungen einstimmig;,en-de,General Legal
"amounts that, under the transitional provisions of paragraph 155(b), the acquiree had not recognised.","jene Beträge, die den Übergangsvorschriften aus Paragraph 155(b) folgend, vom erworbenen Unternehmen noch nicht erfasst waren.",en-de,General Legal
(TITLE II OF THE FINANCIAL REGULATION),(TITEL II DER HAUSHALTSORDNUNG),en-de,Property Law
"3 procedures for responding to security threats or breaches of security, including provisions for maintaining critical operations of the port facility or ship/port interface;.",3 Verfahren zur Reaktion auf Bedrohungssituationen oder auf Beeinträchtigungen der Gefahrenabwehr einschließlich Verfahren zur Aufrechterhaltung wichtiger betrieblicher Vorgänge in der Hafenanlage oder beim Zusammenwirken von Schiff und Hafen;.,en-de,General Legal
yyyy Year,yyyy Jahr,en-de,General Legal
This Regulation will ensure a greater stability of rules over time.,Diese Verordnung sorgt für eine größere Stabilität der Vorschriften in zeitlicher Hinsicht.,en-de,Administrative Law
the entry of items in the inventory in accordance with Article 222.,die Eintragung der betreffenden Gegenstände in die Bestandsverzeichnisse gemäß Artikel 222.,en-de,Constitutional Law
Section 2 Statistics on government budget appropriations or outlays on research and development (GBAORD),Abschnitt 2 Statistik über staatliche Mittelzuweisungen oder Ausgaben für Forschung und Entwicklung (GBAORD),en-de,Administrative Law
He/She shall exercise due diligence to ensure that the Communities receive their revenue and shall see that their rights are safeguarded.,"Er trägt dafür Sorge, dass die Einnahmen der Gemeinschaften eingehen und dass Rechte der Gemeinschaften gewahrt werden.",en-de,Constitutional Law
"""Statistical rectangle"" :","_ "" STATISTISCHES RECHTECK "" :",en-de,General Legal
"A judgment on the exercise of parental responsibility in respect of a child given in a Member State which is enforceable in that Member State and has been served shall be enforced in another Member State when, on the application of any interested party, it has been declared enforceable there.","Die in einem Mitgliedstaat ergangenen Entscheidungen über die elterliche Verantwortung für ein Kind, die in diesem Mitgliedstaat vollstreckbar sind und die zugestellt worden sind, werden in einem anderen Mitgliedstaat vollstreckt, wenn sie dort auf Antrag einer berechtigten Partei für vollstreckbar erklärt wurden.",en-de,Contract Law
supporting awareness-raising and advocacy work and the establishment of stakeholders' networks in the field of gender equality;,Unterstützung von Maßnahmen zur Sensibilisierung und Interessenvertretung und Einrichtung von Netzwerken der Beteiligten im Gender-Bereich;,en-de,General Legal
Finlandia,Finlandia,en-de,General Legal
"Gas network from the Barents Sea resources to the European Union, via Sweden and Finland","Gasnetz von den Vorkommen an der Barentsee in die Europäische Union, über Schweden und Finnland",en-de,Labor Law
IT MAY BE EQUIPPED TO CARRY A LOAD AND PASSENGERS .,Sie kann zum Transport einer Last und von Beifahrern ausgerüstet sein .,en-de,General Legal
The draft assessment report shall be submitted in the format recommended in accordance with the procedure provided for in Article 19 of the Directive.,Der Berichtsentwurf wird in dem empfohlenen Format gemäß dem Verfahren in Artikel 19 der Richtlinie erstellt.,en-de,Constitutional Law
"3 in liaison with the port facility, the ship should ensure that vehicles destined to be loaded on board car carriers, ro-ro and other passenger ships are subjected to search prior to loading, in accordance with the frequency required in the SSP;.","3 in Absprache mit der Hafenanlage soll seitens des Schiffes sichergestellt werden, dass zum Verladen auf Autotransportschiffe, Ro-Ro-Fahrgastschiffe und andere Fahrgastschiffe bestimmte Fahrzeuge vor dem Verladen entsprechend der im Plan zur Gefahrenabwehr auf dem Schiff geforderten Häufigkeit einer Durchsuchung unterzogen werden;.",en-de,Corporate Law
period authorised for fishing and/or transhipment.,zulässiger Zeitraum für den Fischfang und/oder das Umladen.,en-de,General Legal
Consistency - different cost formulas for inventories,Stetigkeit - Unterschiedliche Verfahren zur Zuordnung der Anschaffungs- oder Herstellungskosten von Vorräten,en-de,General Legal
Non-confidential data should be made available to the public.,Nichtvertrauliche Daten sollten der Öffentlichkeit zugänglich gemacht werden.,en-de,General Legal
Inspection bodies:,Kontrollstellen:,en-de,General Legal
"The Commission shall take the necessary steps, in particular by means of technical, administrative and accounting checks at the premises of the beneficiaries, to verify that the information and supporting documents supplied are accurate, and that all the obligations laid down in the grant agreement have been fulfilled.","Die Kommission ergreift die notwendigen Maßnahmen, um insbesondere anhand technischer, administrativer und buchhalterischer Kontrollen beim Empfänger der Finanzhilfe die Richtigkeit der übermittelten Informationen und Belege sowie die Erfuellung aller vertraglichen Verpflichtungen zu überprüfen.",en-de,Contract Law
"This standard applies to chicory, i.e. chicory sprouts forced from the roots of varieties (cultivars) of witloof chicory’ derived from Cichorium intybus L. var. foliosum HEGI (SIC! Cichorium intybus L. var. foliosum HEGI), intended for supply fresh to the consumer, witloof chicory for industrial processing being excluded.","Diese Norm betrifft Chicorée, d. h. das durch Treiben aus der Wurzel der ChicoréeWitloofAnbausorten (Cichorium intybus L. var. foliosum Hegi) gewonnene und zur Lieferung in unverarbeiteten Zustand an den Verbraucher bestimmte Erzeugnis. Chicorée für die industrielle Verarbeitung fällt nicht darunter.",en-de,General Legal
That document shall indicate that the inspector has been designated to carry out inspections in accordance with the CCAMLR observation and inspection system.,"Diesem Ausweis ist zu entnehmen, dass der Inspektor befugt ist, im Rahmen der CCAMLR-Kontrollregelung Kontrollen vorzunehmen.",en-de,General Legal
"""introduction"" means the bringing of goods into one of the territories listed in Annex I to Directive 97/78/EC for the purpose of placing them under the customs procedures referred to in Article 4(16)(a) to (f) of Council Regulation (EC) No 2913/92 of 12 October 1992 establishing the Community Customs Code(9);","Einfuhr: die Einfuhr von Waren in eines der in Anhang I der Richtlinie 97/78/EG aufgeführten Gebiete mit dem Ziel, diese Waren nach den in Artikel 4 Absatz 16 Buchstaben a bis f der Verordnung (EG) Nr. 2913/92 des Rates vom 19. Oktober 1992 zur Festlegung des Zollkodex der Gemeinschaften(9) genannten Zollverfahren in Verkehr zu bringen;",en-de,Constitutional Law
"the client has carried out transactions, in significant size, on the relevant market at an average frequency of 10 per quarter over the previous four quarters,",Der Kunde hat an dem relevanten Markt während der vier vorhergehenden Quartale durchschnittlich pro Quartal 10 Geschäfte von erheblichem Umfang getätigt.,en-de,General Legal
"The need to obtain a sufficiently representative sample for the official testing of fertilizers cannot, therefore, be stressed too much.","Es kann daher nicht eindringlich genug darauf hingewiesen werden, wie wichtig es ist, für die amtliche Düngemittelkontrolle eine hinreichend repräsentative Probe herzustellen.",en-de,General Legal
EASY TO CLEAN .,LEICHT ZU REINIGEN .,en-de,General Legal
The Committee shall keep any such guidance under review and take into account any changes to the consolidated supervision arrangements applied by such competent authorities.,Der Ausschuss überprüft diese Orientierungen regelmäßig und berücksichtigt dabei Änderungen bei der Ausübung der Beaufsichtigung auf konsolidierter Basis durch die betreffenden zuständigen Behörden.,en-de,General Legal
Chaenomeles Lindl.,Chaenomeles Lindl.,en-de,General Legal
"Where several applications are submitted by the same party in one or more Member States, none of those applications shall be admissible.","Stellt ein Interessent mehrere Anträge in einem oder mehreren Mitgliedstaaten, so werden alle seine Anträge abgelehnt.",en-de,Contract Law
"Information, stored in a card, related to the driver activities for a particular calendar day.",Auf einer Karte gespeicherte Informationen zu den Fahrertätigkeiten an einem bestimmten Kalendertag.,en-de,General Legal
"They shall not transmit it to other bodies or natural or legal persons without the express agreement of the competent authorities which disclosed it and solely for the purposes for which those authorities gave their agreement, except in duly justified circumstances.","Außer in gebührend begründeten Fällen dürfen sie diese Informationen nur mit ausdrück-licher Zustimmung der Behörden, die sie übermittelt haben, und nur für die Zwecke, für die diese Behörden ihre Zustimmung gegeben haben, an andere Stellen oder natürliche oder juristische Personen weitergeben.",en-de,Contract Law
Cash management includes the investment of excess cash in cash equivalents.,Zur Zahlungsmitteldisposition gehört auch die Investition überschüssiger Zahlungsmittel in Zahlungsmitteläquivalente.,en-de,General Legal
"However, where the competent authority has already informed the farmer of irregularities in the aid application or where the competent authority has given notice to the farmer of its intention to carry out an on-the-spot check and where that on-the-spot check reveals irregularities, withdrawals shall not be authorised in respect of the parts of the aid application affected by the irregularities.","Hat die zuständige Behörde den Betriebsinhaber jedoch bereits auf Unregelmäßigkeiten im Beihilfeantrag hingewiesen oder ihn von ihrer Absicht unterrichtet, eine Vor-Ort-Kontrolle durchzuführen, und werden bei dieser Kontrolle Unregelmäßigkeiten festgestellt, so können die von einer Unregelmäßigkeit betroffenen Teile des Beihilfeantrags nicht zurückgenommen werden.",en-de,Administrative Law
"Done at Brussels, 12 May 2003.","Brüssel, den 12. Mai 2003",en-de,General Legal
Indicative financial breakdown for the Community programme,VORLÄUFIGE AUFTEILUNG DER MITTEL FÜR DAS GEMEINSCHAFTSPROGRAMM,en-de,General Legal
Special provisions should be laid down for certain Community policies; such provisions should comply with the basic principles of this Regulation.,"Für bestimmte Bereiche der Gemeinschaftspolitik sind besondere Bestimmungen erforderlich, wobei jedoch die Grundprinzipien dieser Verordnung einzuhalten sind.",en-de,Administrative Law
DISPLAY,ANZEIGE,en-de,General Legal
"After initial recognition, an enterprise that chooses the cost model should measure all of its investment property using the benchmark treatment in IAS 16, property, plant and equipment, that is, at cost less any accumulated depreciation and any accumulated impairment losses.","Sofern sich ein Unternehmen nach der erstmaligen Erfassung für das Anschaffungskostenmodell entscheidet, hat es seine gesamten als Finanzinvestition gehaltenen Immobilien nach der Benchmark-Methode des IAS 16, Sachanlagen, zu bewerten, d. h. zu Anschaffungs- oder Herstellungskosten abzüglich der kumulierten Abschreibungen und kumulierten Wertminderungsaufwendungen.",en-de,Property Law
"As a check on the efficiency of the process the chemical oxygen demand (COD), or the dissolved organic carbon (DOC) of the glass fibre filtered effluent accumulated in vessel F and of the filtered synthetic sewage in vessel A is measured at least twice per week.",Zur Überwachung des einwandfreien Betriebs der Messanordnung wird zweimal wöchentlich der chemische Sauerstoffbedarf (CSB) oder der gelöste organische Kohlenstoff (DOC) des glasfasergefilterten Abwassers im Sammelgefäß F und des gefilterten synthetischen Abwassers im Vorratsgefäß A gemessen.,en-de,General Legal
"Appendix A, Example 5, illustrates the effect of a future restructuring on a value in use calculation.","Anhang A, Beispiel 5, erläutert die Wirkung einer künftigen Restrukturierung auf die Berechnung des Nutzungswertes.",en-de,General Legal
MEMBER STATES SHALL ENSURE THAT THE TEXTS OF THE MAIN PROVISIONS OF NATIONAL LAW WHICH THEY ADOPT IN THE FIELD COVERED BY THIS DIRECTIVE ARE COMMUNICATED TO THE COMMISSION .,"Die Mitgliedstaaten tragen dafür Sorge , daß der Kommission der Wortlaut der wichtigsten innerstaatlichen Rechtsvorschriften übermittelt wird , die sie auf dem unter diese Richtlinie fallenden Gebiet erlassen .",en-de,General Legal
Details of the offer and admission to trading details,Einzelheiten zum Wertpapierangebot und zur Zulassung zum Handel,en-de,General Legal
fresh meat of animals in which any form of tuberculosis or one or more living or dead cysterci have been found;,"frisches Fleisch von Tieren, bei denen Tuberkulose in irgendeiner Form oder eine oder mehrere lebende oder abgestorbene Finnen festgestellt worden sind;",en-de,General Legal
"The payment in respect of dependent children is fixed at the request of the husband or wife, on the basis of the place of origin of either of them.",Der Vergütung für die unterhaltsberechtigten Kinder wird entsprechend dem Antrag der Ehegatten der Herkunftsort des einen oder des anderen Ehegatten zugrunde gelegt.,en-de,General Legal
"THE MEMBER STATES SHALL BRING INTO FORCE ON 1 JANUARY 1979 AT THE LATEST THE LAWS , REGULATIONS AND ADMINISTRATIVE PROVISIONS NEEDED FOR COMPLIANCE WITH THIS DIRECTIVE . THEY SHALL FORTHWITH INFORM THE COMMISSION THEREOF .","DIE MITGLIEDSTAATEN SETZEN SPÄTESTENS AM 1 . JANUAR 1979 DIE ERFORDERLICHEN RECHTS - UND VERWALTUNGSVORSCHRIFTEN IN KRAFT , UM DIESER RICHTLINIE NACHZUKOMMEN SIE UNTERRICHTEN DAVON UNVERZÜGLICH DIE KOMMISSION .",en-de,Corporate Law
"if the disposal costs are negligible, the recoverable amount of the revalued asset is necessarily close to, or greater than, its revalued amount (fair value).","wenn die Veräußerungskosten unbedeutend sind, ist der erzielbare Betrag des neu bewerteten Vermögenswertes notwendigerweise fast identisch mit, oder größer als, dessen Neubewertungsbetrag (beizulegender Zeitwert).",en-de,General Legal
"Nevertheless, this Standard permits the use of the equity method, as an allowed alternative treatment, when reporting interests in jointly controlled entities.",Trotzdem gestattet dieser Standard die Verwendung der Equity-Methode als alternativ zulässige Methode bei der Bilanzierung von Anteilen an gemeinschaftlich geführten Einheiten.,en-de,General Legal
The method is based on the fact that the cationic dye methylene blue forms blue salts with anionic surfactants which can be extracted with chloroform.,"Das Verfahren beruht auf der Tatsache, dass der kationische Farbstoff Methylenblau mit anionischen Tensiden blaue Salze bildet, die mit Chloroform extrahiert werden können.",en-de,General Legal
The buying-in of sardines and anchovies provided for in Article 12 of Regulation (EEC) No 100/76.,Ankauf von Sardinen und Sardellen gemäß Artikel 12 der Verordnung (EWG) Nr. 100/76;,en-de,Constitutional Law
as well as for the involvement as accessories or instigators in the commission of conduct referred to in Article 2.,sowie für die Beihilfe oder Anstiftung zu der Begehung der in Artikel 2 aufgeführten Handlungen verantwortlich gemacht werden kann.,en-de,Constitutional Law
"Starting from 2007, the amounts resulting from dairy premium and additional payments provided for in Articles 95 and 96 and to be granted in 2007 shall be included in the single payment scheme.",Ab 2007 werden die 2007 zu gewährenden Beträge für Milchprämien und Ergänzungszahlungen gemäß den Artikeln 95 und 96 in die Betriebsprämienregelung einbezogen.,en-de,General Legal
"H ) A WASHROOM FOR CLEANSING AND DISINFECTING EXAMINATION EQUIPMENT ( E.G . CONTAINERS FOR SAMPLES , COMPRESSORS , KNIVES AND SCISSORS ) , WITH :","EINEN SPÜLRAUM ZUR REINIGUNG UND DESINFEKTION VON UNTERSUCHUNGSGERÄT ( Z . B .PROBENBEHÄLTER , KOMPRESSORIEN , MESSER , SCHEREN ) MIT",en-de,General Legal
"The competent authorities shall, in accordance with Article 58, establish the necessary arrangements in order to ensure that the competent authority of the most relevant market in terms of liquidity for those financial instruments also receives this information.","Die zuständigen Behörden treffen im Einklang mit Artikel 58 die notwendigen Vorkehrungen, um sicherzustellen, dass diese Informationen auch der zuständigen Behörde des für die betreffenden Finanzinstrumente unter Liquiditätsaspekten wichtigsten Marktes übermittelt werden.",en-de,Contract Law
"If the amount used is a ml, the factor f is:","Beträgt die verbrauchte Menge ""a"" ml, so errechnet sich der Faktor ""f"" wie folgt:",en-de,General Legal
adopting recovery plans under Article 5;,Verabschiedung von Wiederauffuellungsplänen gemäß Artikel 5;,en-de,Constitutional Law
"""application for asylum"" means the application made by a third-country national which can be understood as a request for international protection from a Member State, under the Geneva Convention.","""Asylantrag"" den von einem Drittstaatsangehörigen gestellten Antrag, der als Ersuchen um internationalen Schutz eines Mitgliedstaats im Sinne der Genfer Flüchtlingskonvention angesehen werden kann.",en-de,General Legal
"The financial framework for the implementation of this programme for the period 2004 to 2007 is hereby set at EUR 7,85 million.","Der Finanzrahmen für die Durchführung dieses Programms wird für den Zeitraum 2004-2007 auf 7,85 Mio. EUR festgelegt.",en-de,General Legal
Service contracts awarded on the basis of an exclusive right,"Dienstleistungsaufträge, die aufgrund eines ausschließlichen Rechts vergeben werden",en-de,General Legal
All other expenses (overhead costs or overheads) which may arise in connection with the project and which are not specifically identified in the preceding categories shall be covered by a lump sum amounting to 30 % of the allowable staff costs as referred to in point 3.6.2.,"Alle sonstigen Ausgaben (Gemeinkosten), die in Zusammenhang mit dem Projekt entstehen können und in den obigen Kategorien nicht ausdrücklich ausgewiesen sind, werden durch einen Pauschalbetrag in Höhe von 30 % der in Abschnitt 3.6.2 genannten erstattungsfähigen Personalkosten abgedeckt.",en-de,General Legal
a representation of the design suitable for reproduction.,eine zur Reproduktion geeignete Wiedergabe des Geschmacksmusters.,en-de,General Legal
For the fleet segments covered by Article 1(1):,Für die Flottensegmente gemäß Artikel 1 Absatz 1 gilt Folgendes:,en-de,Constitutional Law
"Done at Brussels, 17 December 2003.","Brüssel, den 17. Dezember 2003",en-de,General Legal
"receive transparent information on applicable prices and tariffs and on standard terms and conditions, in respect of access to and use of electricity services;",transparente Informationen über geltende Preise und Tarife sowie über die Standardbedingungen für den Zugang zu Elektrizitätsdienstleistungen und deren Inanspruchnahme erhalten;,en-de,Contract Law
"Pursuant to Article 59(2)(a) of the Council Regulation concerning jurisdiction and the recognition and enforcement of judgments in matrimonial matters and matters of parental responsibility, repealing Regulation (EC) No 1347/2000, Finland hereby declares that the Convention of 6 February 1931 between Finland, Denmark, Iceland, Norway and Sweden comprising international private law provisions on marriage, adoption and guardianship, together with the Final Protocol thereto, will apply in full in relations between Finland and Sweden, in place of the rules of the Regulation.","Gemäß Artikel 59 Absatz 2 Buchstabe a) der Verordnung des Rates über die Zuständigkeit und Anerkennung und Vollstreckung von Entscheidungen in Ehesachen und in Verfahren betreffend die elterliche Verantwortung und zur Änderung der Verordnung (EG) Nr. 1347/2000 erklärt Finnland, dass das Übereinkommen vom 6. Februar 1931 zwischen Finnland, Dänemark, Island, Norwegen und Schweden mit Bestimmungen des internationalen Verfahrensrechts über Ehe, Adoption und Vormundschaft einschließlich des Schlussprotokolls anstelle dieser Verordnung in den gegenseitigen Beziehungen zwischen Finnland und Schweden in vollem Umfang zur Anwendung kommt.",en-de,Family Law
"The effluent from settling vessel D is accumulated in vessel F for 24 hours, following which a sample is taken after thorough mixing.",Das aus dem Absetzgefäß D abfließende Wasser wird in dem Sammelgefäß F während 24 Stunden aufgefangen; nach Ablauf dieser Zeit wird nach gründlichem Durchmischen die Probe entnommen.,en-de,General Legal
"Directive as last amended by Commission Directive 2001/116/EC (OJ L 18, 21.1.2002, p. 1).","Zuletzt geändert durch die Richtlinie 2001/116/EG der Kommission (ABl. L 18 vom 21.1.2002, S. 1).",en-de,General Legal
The Commission shall make this information publicly available.,Die Angaben werden von der Kommission veröffentlicht.,en-de,General Legal
Whether there has been resort to judicial review proceedings either by liable parties or qualified entities.,"Eine Angabe, ob von den haftenden Parteien oder qualifizierten Stellen eine gerichtliche Überprüfung eingeleitet wurde.",en-de,General Legal
the product is a traditional herbal medicinal product for use in specified indication(s) exclusively based upon long-standing use; and,das Produkt ein traditionelles pflanzliches Arzneimittel zur Verwendung für ein spezifiziertes Anwendungsgebiet/spezifizierte Anwendungsgebiete ausschließlich aufgrund langjähriger Anwendung ist und,en-de,General Legal
Agria,Agria,en-de,General Legal
No application in respect of any one type of vehicle may be submitted to more than one Member State.,Für ein und denselben Fahrzeugtyp kann der Antrag auf Erteilung der Betriebserlaubnis jeweils nur in einem Mitgliedstaat gestellt werden.,en-de,General Legal
"In Rule 89 a new paragraph 6 is added:""The files kept by the Office relating to international registrations designating the European Community may be inspected on request as from the date of publication referred to in Article 147(1) of the Regulation, under the conditions laid down in paragraphs (1), (3) and (4) and subject to Rule 88.""","Regel 89 wird eine neuer Absatz 6 hinzugefügt:""Die vom Amt geführten Akten über internationale Registrierungen, in denen die Europäische Gemeinschaft benannt ist, können vorbehaltlich der Regel 88 auf Antrag ab dem Tag der Veröffentlichung gemäß Artikel 147 Absatz 1 der Verordnung unter den in Absatz 1, 3 und 4 festgelegten Bedingungen eingesehen werden.""",en-de,Constitutional Law
"In order to facilitate and accelerate cooperation, and more particularly exchange of information, Member States shall designate one single competent authority as a contact point for the purposes of this Directive.",Zur Erleichterung und Beschleunigung der Zusammenarbeit und insbesondere des Informations-austauschs benennen die Mitgliedstaaten für die Zwecke dieser Richtlinie eine einzige zuständige Behörde als Kontaktstelle.,en-de,Administrative Law
"Community workers must be granted minimum daily, weekly and annual periods of rest and adequate breaks.","Arbeitnehmern in der Gemeinschaft müssen Mindestruhezeiten - je Tag, Woche und Jahr - sowie angemessene Ruhepausen zugestanden werden.",en-de,General Legal
"In Article 135(4), the following sentence is added:",Dem Artikel 135 Absatz 4 wird folgender Satz angefügt:,en-de,Criminal Law
Germany - Poland,Deutschland - Polen,en-de,General Legal
the proceeds represent surplus assets that are not needed for the policy to meet all the related employee benefit obligations;,"die Erlöse stellen Überschüsse dar, die für die Erfuellung sämtlicher Leistungsverpflichtungen gegenüber Arbeitnehmern im Zusammenhang mit der Police nicht benötigt werden;",en-de,Labor Law
workers officiating at religious ceremonies in churches and religious communities.,"Arbeitnehmer, die im liturgischen Bereich von Kirchen oder Religionsgemeinschaften beschäftigt sind.",en-de,General Legal
"The database provided for in paragraph 1(l) shall include the summaries of product characteristics, the patient or user package leaflet and the information shown on the labelling.","Die in Absatz 1 Buchstabe l) genannte Datenbank enthält die Zusammenfassung der Merkmale des Arzneimittels, die für den Patienten oder Benutzer bestimmte Packungsbeilage sowie die Informationen auf der Etikettierung.",en-de,General Legal
"2-hydroxy-4-isopropyl-2,4,6-cycloheptatrien-1-one","2-Hydroxy-4-isopropyl-2,4,6-cycloheptatrien-1-on",en-de,General Legal
The combination of the fall in prices and loss of market share to imports occurred at the same time as a significant fall in the profitability of the Community producers (discussed below).,Der Preisrückgang und der Verlust von Marktanteilen zugunsten der Einfuhren fielen zeitlich mit einem bedeutenden Rückgang der Rentabilität der Gemeinschaftshersteller zusammen (siehe unten).,en-de,General Legal
invalidity benefits;,Leistungen bei Invalidität;,en-de,General Legal
"In order to establish that the presence of this material is adventitious or technically unavoidable, operators must be in a position to demonstrate to the competent authorities that they have taken appropriate steps to avoid the presence of such materials.","Damit festgestellt werden kann, dass das Vorhandensein dieses Stoffes zufällig oder technisch nicht zu vermeiden ist, müssen die Unternehmer den zuständigen Behörden nachweisen können, dass sie geeignete Schritte unternommen haben, um das Vorhandensein derartiger Materialien zu vermeiden.",en-de,General Legal
This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Communities.,Diese Verordnung tritt am 20. Tag nach ihrer Veröffentlichung im Amtsblatt der Europäischen Gemeinschaften in Kraft.,en-de,Administrative Law
Heat 5 000 ml of the solution obtained in item 2.4.2 to 333 K (60 °C) and pass the solution through the exchanger combination at a rate of 20 ml/min.,Dann werden 5 000 ml der nach 2.4.2 erhaltenen Lösung auf 333 K (60 ºC) erwärmt und die heisse Lösung mit einer Durchlaufgeschwindigkeit von 20 ml/min durch die Säulenkombination gegeben.,en-de,General Legal
References to Decision No 1254/96/EC shall be construed as references to this Decision.,Bezugnahmen auf die Entscheidung Nr. 1254/96/EG gelten als Bezugnahmen auf die vorliegende Entscheidung.,en-de,General Legal
"calcium tartrate or tartaric acid,",Kalziumtartrat oder Weinsäure;,en-de,General Legal
"If the pensioner does not submit the certified statement, the institution of the place of residence shall obtain it directly from the institution or institutions responsible for payment of the pension or, where appropriate, from the institution empowered to issue such certified statement.","LEGT DER RENTNER DIESE BESCHEINIGUNG NICHT VOR , SO FORDERT DER TRÄGER DES WOHNORTS SIE BEI DEM ODER DEN ZUR ZAHLUNG EINER RENTE VERPFLICHTETEN TRÄGERN ODER GEGEBENENFALLS BEI DEM FÜR DIE AUSSTELLUNG DER BESCHEINIGUNG BEFUGTEN TRÄGER AN.",en-de,General Legal
"The Council, acting by a qualified majority on a proposal from the Commission, may extend that period.""","Auf Vorschlag der Kommission kann der Rat diesen Zeitraum mit qualifizierter Mehrheit verlängern.""",en-de,General Legal
The budget commitment is individual when the beneficiary and the amount of the expenditure are known.,Bei der Einzelmittelbindung stehen der Begünstigte und der Betrag der Ausgabe fest.,en-de,General Legal
"Examples of these are the ""ISO/AOAC/IUPAC Guidelines on Internal Quality Control in Analytical Chemistry Laboratories"" (5).",Beispiele hierfür sind die International harmonisierten Richtlinien für Interne Qualitätskontrolle in Laboratorien für analytische Chemie der ISO/AOAC/IUPAC (Quelle 5).,en-de,General Legal
"For each subheading in Annex I (1.1, 2.3(a), 6.4(b) etc.), how many installations fall into the categories set out below:","Geben Sie für jede Unterüberschrift (Teilbereich) von Anhang I (1.1, 2.3 a), 6.4 b) usw.) an, wie viele Anlagen unter die nachfolgend genannten Kategorien fallen:",en-de,General Legal
Access to upstream pipeline networks,Zugang zu den vorgelagerten Rohrleitungsnetzen,en-de,General Legal
"Therefore, in the absence of an agreement requiring that the profits of the associate will not be distributed in the foreseeable future, an investor recognises a deferred tax liability arising from taxable temporary differences associated with its investment in the associate.","Daher bilanziert ein Anteilseigner eine latente Steuerschuld aus einer zu versteuernden temporären Differenz in Verbindung mit seinem Anteil am assoziierten Unternehmen, falls nicht in einem Vertrag bestimmt ist, dass die Gewinne des assoziierten Unternehmens in absehbarer Zeit nicht ausgeschüttet werden.",en-de,Civil Law
DG External Relations/A/2,DG/External Relations/A/2,en-de,General Legal
The activities of the Agency in this field should not relieve coastal States of their responsibility to have appropriate pollution response mechanisms in place and should respect existing cooperation arrangements between Member States or groups of Member States in this field.,"Die diesbezüglichen Tätigkeiten der Agentur sollten die Küstenstaaten nicht von ihrer Verantwortung entbinden, angemessene Mechanismen zum Eingreifen bei Verschmutzung vorzusehen, und die entsprechenden Kooperationsvereinbarungen zwischen Mitgliedstaaten oder Gruppen von Mitgliedstaaten in diesem Bereich sollten beachtet werden.",en-de,Environmental Law
take samples for examination and analysis;,zur Prüfung und Analyse Proben zu nehmen;,en-de,General Legal
"The original IAS 17 provided a free choice of method in the allocation of finance income by a lessor, namely the recognition of income basing on a pattern reflecting a constant periodic rate of return based on either:","Der ursprüngliche IAS 17 umfasste ein freies Methodenwahlrecht für die Verteilung von Finanzerträgen eines Leasinggebers, nämlich die Erfassung von Erträgen anhand eines Schemas, welches eine konstante periodische Verzinsung einer der folgenden Beträge widerspiegelt:",en-de,General Legal
Code identifying a language.,Code zur Identifizierung einer Sprache.,en-de,General Legal
"The various bodies of the Agency should establish and develop appropriate contacts with the parties concerned, in particular representatives of patients and health-care professionals.","Die verschiedenen Organe der Agentur sollten geeignete Kontakte zu den betroffenen Gruppen, insbesondere den Vertretern der Patienten und der Gesundheitsberufe aufnehmen und pflegen.",en-de,General Legal
3 assigning additional security personnel to monitor and patrol.,3 die Einteilung von zusätzlichem Sicherheitspersonal für Überwachung und Streifen.,en-de,General Legal
This set always includes the activityChangeInfo coding the driver status at 00.00.,Dieser Datensatz enthält stets auch den ActivityChangeInfo-Wert für den Fahrerstatus um 0.00 Uhr.,en-de,General Legal
Operating mode of installation influencing its throughput.,"Betriebsart, die für den Durchsatz der Anlage bestimmend ist",en-de,General Legal
The Deputy Chairperson shall ex-officio replace the Chairperson in the event of his/her being prevented from attending to his/her duties.,Der stellvertretende Vorsitzende tritt im Fall der Verhinderung des Vorsitzenden von Amts wegen an dessen Stelle.,en-de,General Legal
